text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
Management is best defined as the process of,Principles of Management,mcq,easy,1,1,Getting work done through and with people|Working alone to achieve personal goals|Avoiding responsibility for results|Issuing orders without planning,A,Management is achieving objectives efficiently and effectively through and with other people.,vriddhi-curated|free,2026-27,BBA,false,,
Which function of management involves setting objectives and deciding the course of action in advance,Principles of Management,mcq,easy,1,1,Planning|Directing|Controlling|Staffing,A,Planning is deciding in advance what to do how to do it when to do it and who will do it.,vriddhi-curated|free,2026-27,BBA,false,,
Management is called a science because it,Principles of Management,mcq,medium,1,1,Has systematised knowledge and principles|Deals only with experiments in labs|Never changes over time|Ignores human behaviour,A,Management has an organised body of knowledge and principles which gives it a scientific character.,vriddhi-curated|free,2026-27,BBA,false,,
Management is considered an art because it,Principles of Management,mcq,medium,1,1,Requires personal skill and creativity|Is a rigid set of rules|Works only in factories|Eliminates human judgement,A,Applying knowledge with personal skill judgement and creativity makes management an art.,vriddhi-curated|free,2026-27,BBA,false,,
The three levels of management are top middle and,Principles of Management,fill_in_blank,easy,1,1,,lower,Management is divided into top middle and lower (supervisory) levels.,vriddhi-curated|free,2026-27,BBA,false,,
Conceptual skills are most important at the top level of management,Principles of Management,true_false,easy,1,1,True|False,A,Top managers need conceptual skills to see the organisation as a whole and plan long term.,vriddhi-curated|free,2026-27,BBA,false,,
State any four functions of management,Principles of Management,short_answer,easy,1,2,,Planning organising staffing directing and controlling.,These five functions form the core of the management process.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between efficiency and effectiveness in management,Principles of Management,short_answer,medium,1,2,,Efficiency is doing things right with minimum waste; effectiveness is doing the right things to achieve goals.,Efficiency focuses on inputs while effectiveness focuses on achieving the objective.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of management in modern organisations,Principles of Management,long_answer,medium,1,5,,Management achieves group goals through optimal use of resources reduces costs improves efficiency and coordinates efforts. It helps organisations adapt to a dynamic environment and provides innovation and growth.,A complete answer should cover goal achievement efficiency coordination adaptation and innovation.,vriddhi-curated|free,2026-27,BBA,false,,
F W Taylor is regarded as the father of scientific management,Principles of Management,true_false,easy,2,1,True|False,A,Taylor pioneered scientific management through time and motion study.,vriddhi-curated|free,2026-27,BBA,false,,
Which thinker is associated with the fourteen principles of management,Principles of Management,mcq,easy,2,1,Henri Fayol|Elton Mayo|Max Weber|Peter Drucker,A,Henri Fayol proposed fourteen principles of management such as division of work and unity of command.,vriddhi-curated|free,2026-27,BBA,false,,
The Hawthorne studies gave rise to which school of management,Principles of Management,mcq,medium,2,1,Human relations school|Scientific management|Bureaucracy school|Systems school,A,Elton Mayos Hawthorne experiments highlighted social factors and worker morale.,vriddhi-curated|free,2026-27,BBA,false,,
The principle of unity of command means a subordinate should receive orders from,Principles of Management,fill_in_blank,medium,2,1,,one superior,Unity of command avoids confusion by giving each subordinate a single boss.,vriddhi-curated|free,2026-27,BBA,false,,
List any four principles of management given by Fayol,Principles of Management,short_answer,easy,2,2,,Division of work authority and responsibility unity of command unity of direction discipline and esprit de corps.,Any four of Fayols fourteen principles are acceptable.,vriddhi-curated|free,2026-27,BBA,false,,
Briefly explain the systems approach to management,Principles of Management,short_answer,medium,2,2,,The systems approach views an organisation as a set of interrelated parts working together to convert inputs into outputs within an environment.,It stresses interdependence of subsystems and feedback.,vriddhi-curated|free,2026-27,BBA,false,,
Describe the contributions of the behavioural school of management,Principles of Management,long_answer,medium,2,5,,The behavioural school shifted attention from rules to people. Elton Mayo showed that social needs morale and informal groups affect output. It led to better leadership motivation and participative management.,Cover the Hawthorne studies and the emphasis on human relations and motivation.,vriddhi-curated|free,2026-27,BBA,false,,
Match the thinker to the idea,Principles of Management,mcq,medium,2,1,Taylor - scientific management|Weber - scientific management|Mayo - bureaucracy|Fayol - systems theory,A,Taylor is linked with scientific management while Weber is linked with bureaucracy and Fayol with administrative principles.,vriddhi-curated|free,2026-27,BBA,false,,
Every business should have a bureaucracy with clear hierarchy is Weber,Principles of Management,true_false,easy,2,1,True|False,A,Max Weber described bureaucracy as an ideal organisation based on rules and hierarchy.,vriddhi-curated|free,2026-27,BBA,false,,
A plan that is broad and sets the overall direction of an organisation is a,Principles of Management,fill_in_blank,easy,3,1,,strategy,A strategy is a long term plan that guides the whole organisation toward its mission.,vriddhi-curated|free,2026-27,BBA,false,,
SWOT analysis examines strengths weaknesses opportunities and,Principles of Management,mcq,easy,3,1,Threats|Trends|Targets|Teams,A,SWOT stands for strengths weaknesses opportunities and threats.,vriddhi-curated|free,2026-27,BBA,false,,
Which of the following is a single use plan,Principles of Management,mcq,medium,3,1,Budget|Policy|Procedure|Rule,A,Budgets and programmes are single use plans while policies and procedures are standing plans.,vriddhi-curated|free,2026-27,BBA,false,,
Decision making under certainty means all outcomes of each alternative are known,Principles of Management,true_false,medium,3,1,True|False,A,Under certainty the manager has complete information about every alternative and its result.,vriddhi-curated|free,2026-27,BBA,false,,
List the steps in the planning process,Principles of Management,short_answer,easy,3,2,,Setting objectives developing premises identifying alternatives evaluating alternatives selecting a plan and follow up.,Planning proceeds step by step from objectives to implementation and review.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the concept of MBO and its benefits,Principles of Management,long_answer,hard,3,5,,Management by Objectives is a process where managers and subordinates jointly set measurable goals and review performance against them. Benefits include clarity of goals motivation participation and better performance appraisal.,Cover joint goal setting periodic review and the motivational effect of participation.,vriddhi-curated|free,2026-27,BBA,false,,
In decision making choosing the first satisfactory alternative rather than the best is called satisficing,Principles of Management,true_false,hard,3,1,True|False,A,Herbert Simon proposed bounded rationality where managers satisfice instead of optimising.,vriddhi-curated|free,2026-27,BBA,false,,
Which decision making technique uses a group of experts who respond anonymously,Principles of Management,mcq,medium,3,1,Delphi technique|Nominal group|Brainstorming|Benchmarking,A,The Delphi technique gathers expert opinion through repeated anonymous questionnaires.,vriddhi-curated|free,2026-27,BBA,false,,
Assertion: Planning is the primary function of management. Reason: All other functions depend on plans set in advance,Principles of Management,mcq,medium,3,1,Both assertion and reason are true and reason explains assertion|Both are true but reason does not explain assertion|Assertion is true but reason is false|Assertion is false but reason is true,A,Planning precedes organising staffing directing and controlling so it is primary and the reason explains this.,vriddhi-curated|free,2026-27,BBA,false,,
Which term refers to the grouping of activities and the assignment of authority,Principles of Management,mcq,easy,4,1,Organising|Planning|Staffing|Motivating,A,Organising involves dividing work into departments and establishing authority relationships.,vriddhi-curated|free,2026-27,BBA,false,,
The number of subordinates a manager can effectively supervise is called span of,Principles of Management,fill_in_blank,easy,4,1,,control,Span of control refers to how many people report directly to a manager.,vriddhi-curated|free,2026-27,BBA,false,,
Delegation of authority always transfers final responsibility to the subordinate,Principles of Management,true_false,medium,4,1,True|False,B,Authority can be delegated but ultimate responsibility always remains with the manager.,vriddhi-curated|free,2026-27,BBA,false,,
Which structure groups activities by product region or customer,Principles of Management,mcq,medium,4,1,Divisional structure|Functional structure|Matrix structure|Line structure,A,A divisional structure creates semi-autonomous units around products or markets.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between centralisation and decentralisation,Principles of Management,short_answer,medium,4,2,,Centralisation concentrates decision making at the top while decentralisation spreads it to lower levels. Neither is absolute and both exist in every organisation.,The difference is the degree to which lower levels participate in decisions.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the principles of delegation of authority,Principles of Management,long_answer,medium,4,5,,Delegation involves assigning duties granting authority and creating accountability. Principles include parity of authority and responsibility unity of command and scalar chain. Authority can be delegated but responsibility cannot.,Cover the three elements of delegation and the key principles that govern it.,vriddhi-curated|free,2026-27,BBA,false,,
Assertion: A flat organisation has few levels. Reason: A wide span of control reduces the number of hierarchy levels,Principles of Management,mcq,medium,4,1,Both assertion and reason are true and reason explains assertion|Both are true but reason does not explain assertion|Assertion is true but reason is false|Assertion is false but reason is true,A,A wide span of control means each manager supervises more people so fewer levels are needed.,vriddhi-curated|free,2026-27,BBA,false,,
The first step in staffing is,Principles of Management,mcq,easy,5,1,Manpower planning|Selection|Performance appraisal|Promotion,A,Staffing begins with estimating manpower needs through human resource planning.,vriddhi-curated|free,2026-27,BBA,false,,
The process of choosing the most suitable candidate from applicants is called,Principles of Management,fill_in_blank,easy,5,1,,selection,Selection picks the best candidate while recruitment attracts a pool of applicants.,vriddhi-curated|free,2026-27,BBA,false,,
Maslow placed self-actualisation at the bottom of his hierarchy of needs,Principles of Management,true_false,easy,5,1,True|False,B,Physiological needs are at the bottom and self-actualisation is at the top of the hierarchy.,vriddhi-curated|free,2026-27,BBA,false,,
Which leadership style allows full participation of subordinates in decisions,Principles of Management,mcq,medium,5,1,Democratic|Autocratic|Free rein|Bureaucratic,A,A democratic leader consults subordinates and encourages participation in decision making.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the difference between recruitment and selection,Principles of Management,short_answer,easy,5,2,,Recruitment is a positive process that attracts a large pool of candidates. Selection is a negative process that rejects unsuitable applicants and picks the best one.,Recruitment precedes selection in the staffing sequence.,vriddhi-curated|free,2026-27,BBA,false,,
Describe Herzbergs two-factor theory of motivation,Principles of Management,long_answer,medium,5,5,,Herzberg divided factors into hygiene factors like salary and working conditions which prevent dissatisfaction and motivators like achievement and recognition which create satisfaction. Hygiene factors do not motivate by themselves.,Cover the distinction between hygiene factors and motivators and their effect on job satisfaction.,vriddhi-curated|free,2026-27,BBA,false,,
Assertion: Directing initiates action. Reason: Directing guides people toward execution of plans,Principles of Management,mcq,medium,5,1,Both assertion and reason are true and reason explains assertion|Both are true but reason does not explain assertion|Assertion is true but reason is false|Assertion is false but reason is true,A,Directing is the executive function that converts plans into action through people.,vriddhi-curated|free,2026-27,BBA,false,,
The process of measuring actual performance against standards is called,Principles of Management,mcq,easy,6,1,Controlling|Planning|Directing|Organising,A,Controlling compares actual performance with planned standards and corrects deviations.,vriddhi-curated|free,2026-27,BBA,false,,
A standard expressed in money such as sales target or cost limit is a budget,Principles of Management,true_false,easy,6,1,True|False,A,A budget is a quantitative standard usually expressed in monetary terms.,vriddhi-curated|free,2026-27,BBA,false,,
Controlling that takes place while an activity is in progress is called control,Principles of Management,fill_in_blank,medium,6,1,,concurrent,Concurrent control monitors activities as they happen while feedback control occurs after the event.,vriddhi-curated|free,2026-27,BBA,false,,
Which tool of control analyses a project into activities and shows their sequence and timing,Principles of Management,mcq,medium,6,1,PERT and CPM|Ratio analysis|Break even analysis|Budgetary control,A,PERT and CPM are network techniques used to plan and control project schedules.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the steps in the controlling process,Principles of Management,short_answer,easy,6,2,,Establishing standards measuring actual performance comparing performance with standards and taking corrective action.,These four steps form the control cycle.,vriddhi-curated|free,2026-27,BBA,false,,
Why is coordination called the essence of management,Principles of Management,long_answer,medium,6,5,,Coordination unites the efforts of all departments toward common goals. It is needed in every function of management so it is not a separate function but the thread that runs through all of them.,Explain how planning organising staffing directing and controlling each require coordination.,vriddhi-curated|free,2026-27,BBA,false,,
A firm sets a standard of ten units per worker per day. A worker produces eight units. The deviation that must be corrected is,Principles of Management,numerical,easy,6,2,,2 units,Deviation equals standard minus actual performance so 10 minus 8 gives 2 units.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A call centre sets a target of answering calls within twenty seconds. Actual average is forty five seconds and customers complain. Identify the control standard and the corrective action needed,Principles of Management,case_based,hard,6,5,,The standard is answering calls within twenty seconds. Actual performance of forty five seconds shows a negative deviation. Corrective action includes more staff better training or improved technology to reduce response time.,Relate the standard to the measured performance and propose realistic corrections.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A manager notices that output rises whenever he praises workers in team meetings. Using motivation theory explain why recognition improves performance and suggest how to use it,Principles of Management,case_based,hard,5,5,,Recognition satisfies the esteem need in Maslows hierarchy and acts as a motivator in Herzbergs theory so it raises morale and output. The manager should give regular specific and genuine recognition to sustain motivation.,Link the observed behaviour to motivation theories and give practical suggestions.,vriddhi-curated|free,2026-27,BBA,false,,
