text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
An agreement enforceable by law is a,Business Law,mcq,easy,1,1,Contract|Promise|Proposal|Invitation,A,A contract is an agreement that creates legal obligations.,vriddhi-curated|free,2026-27,BBA,false,,
The minimum age at which a person can enter into a valid contract in India is,Business Law,mcq,easy,1,1,18 years|16 years|21 years|25 years,A,Under the Indian Majority Act a person attains majority at eighteen.,vriddhi-curated|free,2026-27,BBA,false,,
A proposal when accepted becomes a,Business Law,fill_in_blank,easy,1,1,,promise,Acceptance of an offer converts the proposal into a promise.,vriddhi-curated|free,2026-27,BBA,false,,
An agreement without consideration is always void,Business Law,true_false,medium,1,1,True|False,B,There are exceptions such as gifts and natural love and affection where consideration is not required.,vriddhi-curated|free,2026-27,BBA,false,,
List the essential elements of a valid contract,Business Law,short_answer,easy,1,2,,Offer and acceptance lawful consideration capacity free consent lawful object and certainty.,These elements must all be present for a valid contract.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the modes of discharge of a contract,Business Law,long_answer,medium,1,5,,A contract is discharged by performance mutual agreement impossibility lapse of time operation of law and breach. Each brings the obligations to an end.,Cover the various ways contractual obligations terminate.,vriddhi-curated|free,2026-27,BBA,false,,
A contract to compensate a party for loss caused by another is a contract of,Business Law,mcq,easy,2,1,Indemnity|Guarantee|Bailment|Agency,A,Indemnity promises to make good a loss suffered by another.,vriddhi-curated|free,2026-27,BBA,false,,
The person whose goods are delivered to another for a purpose on return is the,Business Law,fill_in_blank,easy,2,1,,bailor,In bailment the bailor delivers goods to the bailee for a purpose on return.,vriddhi-curated|free,2026-27,BBA,false,,
A contract of guarantee involves three parties,Business Law,true_false,easy,2,1,True|False,A,Guarantee involves the creditor principal debtor and surety.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between indemnity and guarantee,Business Law,short_answer,medium,2,2,,Indemnity involves two parties and one promise while guarantee involves three parties and a secondary liability of the surety.,Guarantee has an extra party and a contingent liability.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the rights and duties of a bailee,Business Law,long_answer,medium,2,5,,A bailee must take reasonable care of the goods and return them as agreed and has the right to recover expenses and claim a lien for unpaid charges.,Cover the duties of care and return and the rights of reimbursement.,vriddhi-curated|free,2026-27,BBA,false,,
The Act that governs contracts for the sale of movable goods is the,Business Law,mcq,easy,3,1,Sale of Goods Act|Companies Act|Partnership Act|Contract Act,A,The Sale of Goods Act 1930 governs contracts for the sale of goods.,vriddhi-curated|free,2026-27,BBA,false,,
The transfer of ownership of goods for a price is called a,Business Law,fill_in_blank,easy,3,1,,sale,A sale transfers property in goods from seller to buyer for a price.,vriddhi-curated|free,2026-27,BBA,false,,
In a contract of sale property in the goods passes immediately to the buyer,Business Law,true_false,medium,3,1,True|False,A,In a sale ownership passes at once while in an agreement to sell it passes later.,vriddhi-curated|free,2026-27,BBA,false,,
