text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The limit of (x squared - 1) / (x - 1) as x approaches 1 is:,Mathematics,mcq,easy,Limits and Continuity,1,0|2|1|Does not exist,B,Factor the numerator as (x-1)(x+1); the quotient becomes x+1 which tends to 2.,mathematics,2026-27,B.Sc,false,,
A function f is continuous at x = a if the limit of f(x) as x approaches a equals f(a). This statement is:,Mathematics,true_false,easy,Limits and Continuity,1,,True,All three conditions: f(a) exists; the limit exists; and the two are equal.,mathematics,2026-27,B.Sc,false,,
The limit of (sin x) / x as x approaches 0 is:,Mathematics,mcq,medium,Limits and Continuity,1,0|1|Infinity|2,B,This standard limit is proved geometrically using the squeeze theorem.,mathematics,2026-27,B.Sc,false,,
The intermediate value theorem requires the function to be:,Mathematics,mcq,medium,Limits and Continuity,1,Continuous on a closed interval|Differentiable|Increasing|Periodic,A,A continuous function takes every value between its endpoint values.,mathematics,2026-27,B.Sc,false,,
State the definition of continuity of a function at a point.,Mathematics,short_answer,easy,Limits and Continuity,2,,The function is continuous at a point if the limit as x approaches the point exists and is equal to the value of the function at that point.,,mathematics,2026-27,B.Sc,false,,
The derivative of x cubed is:,Mathematics,mcq,easy,Differentiation,1,x squared|3 x squared|3 x|x cubed / 3,B,Apply the power rule: bring down the exponent and reduce it by one.,mathematics,2026-27,B.Sc,false,,
The derivative of sin x is:,Mathematics,mcq,easy,Differentiation,1,cos x|-cos x|-sin x|tan x,A,The derivative of cos x is -sin x which is the companion result.,mathematics,2026-27,B.Sc,false,,
The chain rule states that the derivative of f(g(x)) equals f prime of g(x) times g prime of x. This statement is:,Mathematics,true_false,medium,Differentiation,1,,True,Differentiate the outer function keeping the inner intact then multiply by the inner derivative.,mathematics,2026-27,B.Sc,false,,
At a local maximum of a differentiable function the derivative equals zero. This statement is:,Mathematics,true_false,medium,Differentiation,1,,True,Fermat's theorem: an interior extremum of a differentiable function has a horizontal tangent.,mathematics,2026-27,B.Sc,false,,
State the product rule for differentiation.,Mathematics,short_answer,easy,Differentiation,2,,The derivative of the product f g is f prime g plus f g prime.,,mathematics,2026-27,B.Sc,false,,
The integral of 2x dx is:,Mathematics,mcq,easy,Integration,1,x squared + C|2 x squared + C|x + C|2 + C,A,Differentiating x squared + C gives back 2x.,mathematics,2026-27,B.Sc,false,,
The integral of 1 / x dx is:,Mathematics,mcq,medium,Integration,1,x + C|ln x + C|1 / x squared + C|e to the x + C,B,The natural logarithm is the antiderivative of the reciprocal function.,mathematics,2026-27,B.Sc,false,,
