text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The branch of accounting that provides information to managers for decision making is,Management Accounting,mcq,easy,1,1,Management accounting|Financial accounting|Cost accounting|Tax accounting,A,Management accounting supplies internal information for planning and control.,vriddhi-curated|free,2026-27,BBA,false,,
Management accounting is primarily meant for,Management Accounting,mcq,easy,1,1,Internal managers|External investors|Tax authorities|The public,A,Management accounting serves internal management needs.,vriddhi-curated|free,2026-27,BBA,false,,
Management accounting is forward looking while financial accounting is,Management Accounting,fill_in_blank,medium,1,1,,historical,Financial accounting records the past while management accounting plans the future.,vriddhi-curated|free,2026-27,BBA,false,,
Management accounting is mandatory by law like financial accounting,Management Accounting,true_false,easy,1,1,True|False,B,Management accounting is voluntary while financial accounting is legally required.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between management accounting and financial accounting,Management Accounting,short_answer,medium,1,2,,Financial accounting is historical external and mandatory while management accounting is forward looking internal and voluntary.,The users purpose and legal status differ between the two.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the functions of management accounting,Management Accounting,long_answer,medium,1,5,,Management accounting analyses data plans controls coordinates and communicates information to help managers make decisions and evaluate performance.,Cover analysis planning control and communication functions.,vriddhi-curated|free,2026-27,BBA,false,,
The statement that shows the relationship between items of financial statements is,Management Accounting,mcq,easy,2,1,Financial statement analysis|Journal|Ledger|Trial balance,A,Analysis studies the relationships among financial statement items.,vriddhi-curated|free,2026-27,BBA,false,,
The ratio of current assets to current liabilities is the,Management Accounting,fill_in_blank,easy,2,1,,current ratio,The current ratio measures short term liquidity.,vriddhi-curated|free,2026-27,BBA,false,,
The debt equity ratio measures a firms long term solvency,Management Accounting,true_false,easy,2,1,True|False,A,The debt equity ratio shows the proportion of debt to equity financing.,vriddhi-curated|free,2026-27,BBA,false,,
List the types of financial ratios,Management Accounting,short_answer,easy,2,2,,Liquidity profitability activity and solvency ratios.,These categories assess different aspects of financial performance.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of ratio analysis,Management Accounting,long_answer,medium,2,5,,Ratio analysis summarises financial statements into comparable measures of liquidity profitability and solvency enabling comparison over time and across firms and aiding decisions.,Cover simplification comparison and decision support.,vriddhi-curated|free,2026-27,BBA,false,,
Current assets are 100000 and current liabilities are 50000. The current ratio is,Management Accounting,numerical,easy,2,2,,2,Current ratio equals current assets divided by current liabilities so 100000 divided by 50000 equals two.,vriddhi-curated|free,2026-27,BBA,false,,
The statement that explains changes in working capital over a period is the,Management Accounting,mcq,easy,3,1,Funds flow statement|Trading account|Balance sheet|Profit and loss account,A,The funds flow statement shows sources and uses of funds.,vriddhi-curated|free,2026-27,BBA,false,,
The statement that summarises actual cash receipts and payments is the,Management Accounting,fill_in_blank,easy,3,1,,cash flow statement,The cash flow statement reports inflows and outflows of cash.,vriddhi-curated|free,2026-27,BBA,false,,
Depreciation is added back to net profit in a funds flow statement because it is a non fund item,Management Accounting,true_false,medium,3,1,True|False,A,Depreciation involves no outflow of funds so it is added back to profit.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between a funds flow statement and a cash flow statement,Management Accounting,short_answer,medium,3,2,,A funds flow statement is based on the broader concept of working capital while a cash flow statement deals only with actual cash movements.,Cash flow is narrower and cash based while funds flow uses working capital.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the uses of a cash flow statement,Management Accounting,long_answer,medium,3,5,,A cash flow statement shows how cash is generated and used and reveals liquidity solvency and the ability to meet obligations and fund growth.,Cover liquidity assessment and cash planning uses.,vriddhi-curated|free,2026-27,BBA,false,,
The technique that separates costs into fixed and variable components is,Management Accounting,mcq,easy,4,1,Marginal costing|Standard costing|Absorption costing|Budgeting,A,Marginal costing charges only variable costs to products.,vriddhi-curated|free,2026-27,BBA,false,,
The point at which total revenue equals total cost and profit is zero is the,Management Accounting,fill_in_blank,easy,4,1,,break even point,At the break even point there is neither profit nor loss.,vriddhi-curated|free,2026-27,BBA,false,,
Contribution equals sales minus variable cost,Management Accounting,true_false,easy,4,1,True|False,A,Contribution is sales revenue less variable costs.,vriddhi-curated|free,2026-27,BBA,false,,
Define contribution and explain its importance,Management Accounting,short_answer,medium,4,2,,Contribution is sales minus variable cost and it first covers fixed costs then yields profit. It is used in break even and profit planning.,Contribution is central to marginal costing decisions.,vriddhi-curated|free,2026-27,BBA,false,,
