text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The accounting equation is stated as:,Financial Accounting,mcq,easy,Journal and Accounting Equation,1,Assets = Liabilities + Capital|Assets + Capital = Liabilities|Capital = Assets + Liabilities|Assets = Capital - Liabilities,A,Assets equal the sum of outside claims (liabilities) and the owner's claims (capital).,financial,2026-27,B.Com,false,,
Recording a transaction in the journal for the first time is called:,Financial Accounting,mcq,easy,Journal and Accounting Equation,1,Posting|Journalising|Ledgerising|Balancing off,B,The journal is the book of original entry.,financial,2026-27,B.Com,false,,
When cash is received from a customer on account the entry is:,Financial Accounting,mcq,medium,Journal and Accounting Equation,1,Debit Cash and Credit Sales|Debit Sales and Credit Cash|Debit Cash and Credit the customer's account|Debit the customer's account and Credit Cash,C,Cash (asset) increases with a debit and the debtor's claim decreases with a credit.,financial,2026-27,B.Com,false,,
Every transaction affects at least two accounts in equal amounts. This is the:,Financial Accounting,true_false,easy,Journal and Accounting Equation,1,,True,This is the dual aspect concept of double entry book keeping.,financial,2026-27,B.Com,false,,
State the dual aspect concept of accounting.,Financial Accounting,short_answer,easy,Journal and Accounting Equation,2,,Every transaction has two equal and opposite effects so two entries (a debit and a credit) are recorded.,,financial,2026-27,B.Com,false,,
The ledger is called the book of:,Financial Accounting,mcq,easy,Ledger and Trial Balance,1,Original entry|Final entry|Subsidiary entry only|Cash entry,B,The journal records transactions first and the ledger (final entry) groups them by account.,financial,2026-27,B.Com,false,,
The trial balance is prepared mainly to check the:,Financial Accounting,mcq,easy,Ledger and Trial Balance,1,Profitability of the business|Arithmetic accuracy of ledger posting|Solvency of the business|Efficiency of the staff,B,Equality of total debits and credits detects one sided and amount errors.,financial,2026-27,B.Com,false,,
A cash account showing a credit balance in the trial balance indicates:,Financial Accounting,mcq,medium,Ledger and Trial Balance,1,A cash shortage|An overdrawn position|A credit sale|An arithmetical error only,B,When the bank pays more than the business deposits the cash book balance becomes negative.,financial,2026-27,B.Com,false,,
The trial balance will NOT detect an error of omission. This statement is:,Financial Accounting,true_false,medium,Ledger and Trial Balance,1,,True,When a transaction is completely left out both sides stay equal so the trial balance agrees.,financial,2026-27,B.Com,false,,
List any four errors that are not disclosed by the trial balance.,Financial Accounting,short_answer,medium,Ledger and Trial Balance,2,,Errors of omission; errors of commission; errors of principle; and compensating errors.,,financial,2026-27,B.Com,false,,
The statement that shows the profit earned from trading is the:,Financial Accounting,mcq,easy,Financial Statements,1,Profit and Loss Account|Trading Account|Balance Sheet|Cash Flow Statement,B,The trading account computes gross profit from sales and cost of goods sold.,financial,2026-27,B.Com,false,,
