text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The long term direction and scope of an organisation to gain advantage is its,Strategic Management,mcq,easy,1,1,Strategy|Tactic|Policy|Procedure,A,Strategy is the long term direction and scope of an organisation.,vriddhi-curated|free,2026-27,BBA,false,,
Strategy formulated for the whole organisation is,Strategic Management,mcq,easy,1,1,Corporate strategy|Business strategy|Functional strategy|Operational strategy,A,Corporate strategy covers the entire organisation and its portfolio.,vriddhi-curated|free,2026-27,BBA,false,,
The first stage of strategic management is environmental,Strategic Management,fill_in_blank,easy,1,1,,scanning,Environmental scanning identifies opportunities and threats.,vriddhi-curated|free,2026-27,BBA,false,,
Strategic management is a one time activity rather than a continuous process,Strategic Management,true_false,easy,1,1,True|False,B,Strategic management is a continuous process of formulation implementation and evaluation.,vriddhi-curated|free,2026-27,BBA,false,,
List the three levels of strategy,Strategic Management,short_answer,easy,1,2,,Corporate strategy business strategy and functional strategy.,Strategy operates at these three organisational levels.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the strategic management process,Strategic Management,long_answer,medium,1,5,,The process moves from defining mission and objectives through environmental analysis strategy formulation and implementation to evaluation and control.,Trace the stages from mission to evaluation.,vriddhi-curated|free,2026-27,BBA,false,,
The analysis of strengths weaknesses opportunities and threats is,Strategic Management,mcq,easy,2,1,SWOT analysis|Ratio analysis|Trend analysis|Variance analysis,A,SWOT analyses internal strengths and weaknesses and external opportunities and threats.,vriddhi-curated|free,2026-27,BBA,false,,
The external factors affecting a firm such as competition and technology form its,Strategic Management,fill_in_blank,easy,2,1,,environment,The environment provides opportunities and threats to the firm.,vriddhi-curated|free,2026-27,BBA,false,,
Strengths and weaknesses are internal while opportunities and threats are external,Strategic Management,true_false,easy,2,1,True|False,A,SW and OT reflect internal and external factors respectively.,vriddhi-curated|free,2026-27,BBA,false,,
State the components of a SWOT analysis,Strategic Management,short_answer,easy,2,2,,Strengths weaknesses opportunities and threats.,These four components summarise the firms strategic position.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of environmental scanning,Strategic Management,long_answer,medium,2,5,,Environmental scanning helps anticipate change identify opportunities and threats and align strategy with the external environment for competitive advantage.,Cover anticipation and strategic alignment benefits.,vriddhi-curated|free,2026-27,BBA,false,,
A strategy of expanding into new markets with existing products is,Strategic Management,mcq,medium,3,1,Market development|Market penetration|Product development|Diversification,A,Market development takes existing products into new markets.,vriddhi-curated|free,2026-27,BBA,false,,
The strategy of increasing sales of existing products in existing markets is,Strategic Management,fill_in_blank,easy,3,1,,market penetration,Market penetration grows share within current markets.,vriddhi-curated|free,2026-27,BBA,false,,
Diversification is a growth strategy of entering new products and new markets,Strategic Management,true_false,easy,3,1,True|False,A,Diversification moves into new products and markets simultaneously.,vriddhi-curated|free,2026-27,BBA,false,,
List the generic strategies of Porter,Strategic Management,short_answer,easy,3,2,,Cost leadership differentiation and focus.,These generic strategies give competitive advantage.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the Ansoff growth matrix,Strategic Management,long_answer,medium,3,5,,The Ansoff matrix offers four growth options combining products and markets namely market penetration market development product development and diversification.,Describe each quadrant of the matrix.,vriddhi-curated|free,2026-27,BBA,false,,
The process of putting chosen strategies into action is,Strategic Management,mcq,easy,4,1,Strategy implementation|Strategy formulation|Environmental scanning|Evaluation,A,Implementation translates strategy into action through structure and resources.,vriddhi-curated|free,2026-27,BBA,false,,
The structure that follows strategy according to Chandler means structure is determined by,Strategic Management,fill_in_blank,medium,4,1,,strategy,Chandlers thesis is that organisational structure follows strategy.,vriddhi-curated|free,2026-27,BBA,false,,
Strategy implementation is usually easier than strategy formulation,Strategic Management,true_false,medium,4,1,True|False,B,Implementation is often harder because it involves people culture and coordination.,vriddhi-curated|free,2026-27,BBA,false,,
List the factors affecting strategy implementation,Strategic Management,short_answer,easy,4,2,,Organisational structure culture leadership resources and systems.,These factors determine how well strategy is executed.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the relationship between strategy and organisational structure,Strategic Management,long_answer,medium,4,5,,Strategy determines the structure needed to execute it so changes in strategy require matching structural adjustments as Chandlers structure follows strategy thesis holds.,Link strategy changes to structural adaptation.,vriddhi-curated|free,2026-27,BBA,false,,
The process of monitoring results and comparing them with goals is,Strategic Management,mcq,easy,5,1,Strategy evaluation|Formulation|Scanning|Implementation,A,Evaluation measures performance against strategic objectives.,vriddhi-curated|free,2026-27,BBA,false,,
The tool that measures performance across financial customer internal and learning perspectives is the,Strategic Management,fill_in_blank,medium,5,1,,balanced scorecard,The balanced scorecard evaluates four perspectives of performance.,vriddhi-curated|free,2026-27,BBA,false,,
Strategic evaluation should be a continuous process not just at the end,Strategic Management,true_false,easy,5,1,True|False,A,Continuous evaluation allows timely corrective action.,vriddhi-curated|free,2026-27,BBA,false,,
List the criteria for evaluating strategy,Strategic Management,short_answer,easy,5,2,,Consistency consonance feasibility and advantage.,These Rumelt criteria assess the quality of a strategy.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the steps in strategic evaluation and control,Strategic Management,long_answer,medium,5,5,,Evaluation sets standards measures performance compares results with standards and takes corrective action to keep strategy on track.,Trace the control cycle for strategy.,vriddhi-curated|free,2026-27,BBA,false,,
The system of rules and practices by which companies are directed is,Strategic Management,mcq,easy,6,1,Corporate governance|Marketing|Production|Finance,A,Corporate governance is the system by which companies are directed and controlled.,vriddhi-curated|free,2026-27,BBA,false,,
The moral principles that guide business conduct are business,Strategic Management,fill_in_blank,easy,6,1,,ethics,Business ethics are the standards of right and wrong in business.,vriddhi-curated|free,2026-27,BBA,false,,
Good corporate governance protects the interests of all stakeholders,Strategic Management,true_false,easy,6,1,True|False,A,Governance balances the interests of shareholders and other stakeholders.,vriddhi-curated|free,2026-27,BBA,false,,
State the principles of corporate governance,Strategic Management,short_answer,easy,6,2,,Transparency accountability fairness and responsibility.,These principles underpin sound corporate governance.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of corporate governance,Strategic Management,long_answer,medium,6,5,,Corporate governance builds investor confidence ensures accountability reduces risk and fraud and supports long term value creation.,Cover investor trust accountability and value creation.,vriddhi-curated|free,2026-27,BBA,false,,
Assertion: A clear mission statement guides strategic decisions. Reason: The mission defines the purpose and scope of the organisation,Strategic Management,mcq,medium,1,1,Both assertion and reason are true and reason explains assertion|Both are true but reason does not explain assertion|Assertion is true but reason is false|Assertion is false but reason is true,A,A mission clarifies purpose and scope thereby directing strategy.,vriddhi-curated|free,2026-27,BBA,false,,
Match the strategy to its direction,Strategic Management,mcq,medium,3,1,Market penetration - existing markets existing products|Market development - new products existing markets|Product development - new markets existing products|Diversification - existing markets existing products,A,Market penetration grows share with existing products in existing markets.,vriddhi-curated|free,2026-27,BBA,false,,
The vision statement describes what the organisation aspires to become in the future,Strategic Management,mcq,easy,1,1,Vision|Mission|Objective|Policy,A,A vision is the desired future state of the organisation.,vriddhi-curated|free,2026-27,BBA,false,,
The framework that analyses industry competition through five forces was given by,Strategic Management,fill_in_blank,medium,2,1,,Michael Porter,Porter proposed the five forces model of industry competition.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the five forces model of competition,Strategic Management,long_answer,medium,2,5,,Porter five forces are rivalry among competitors threat of new entrants bargaining power of buyers bargaining power of suppliers and threat of substitutes which determine industry profitability.,Describe each force and its effect on competition.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A company wants to grow but its current market is saturated. Using the Ansoff matrix suggest two growth options,Strategic Management,case_based,hard,3,5,,The company could pursue market development by entering new markets or product development by offering new products in existing markets.,Apply two Ansoff options to the saturated market situation.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A firm has strong technology but weak distribution and faces rising demand. Recommend a strategy based on a SWOT analysis,Strategic Management,case_based,hard,2,5,,The firm should exploit its technology strength and rising demand opportunity while fixing weak distribution through partnerships or investment to capture growth.,Link internal strengths and weaknesses to external opportunities.,vriddhi-curated|free,2026-27,BBA,false,,
Strategy that focuses on a narrow market segment is,Strategic Management,mcq,medium,3,1,Focus strategy|Cost leadership|Differentiation|Diversification,A,Focus strategy targets a specific segment or niche.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the difference between vision and mission,Strategic Management,short_answer,medium,1,2,,A vision is the future aspiration while a mission is the present purpose and scope of the organisation.,Vision is future oriented and mission is present oriented.,vriddhi-curated|free,2026-27,BBA,false,,
