text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The moral principles that guide business conduct are,Business Ethics and Corporate Governance,mcq,easy,1,1,Business ethics|Business law|Economics|Accounting,A,Business ethics are the standards of right and wrong in business.,vriddhi-curated|free,2026-27,BBA,false,,
The principles of honesty fairness and integrity form the core of,Business Ethics and Corporate Governance,mcq,easy,1,1,Ethical values|Legal rules|Market forces|Tax laws,A,Honesty fairness and integrity are fundamental ethical values.,vriddhi-curated|free,2026-27,BBA,false,,
A written statement of an organisations ethical principles is a code of,Business Ethics and Corporate Governance,fill_in_blank,easy,1,1,,ethics,A code of ethics guides employee conduct in an organisation.,vriddhi-curated|free,2026-27,BBA,false,,
Ethics and law are identical because all legal actions are ethical,Business Ethics and Corporate Governance,true_false,medium,1,1,True|False,B,Some actions are legal but unethical and some ethical actions may go beyond law.,vriddhi-curated|free,2026-27,BBA,false,,
State the sources of business ethics,Business Ethics and Corporate Governance,short_answer,easy,1,2,,Religion culture law society and personal values shape business ethics.,Ethical standards emerge from these social and personal sources.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of business ethics,Business Ethics and Corporate Governance,long_answer,medium,1,5,,Business ethics builds trust and reputation attracts customers and talent reduces legal risk and supports long term sustainability and social legitimacy.,Cover trust reputation and long term sustainability.,vriddhi-curated|free,2026-27,BBA,false,,
The process of choosing between right and wrong alternatives is,Business Ethics and Corporate Governance,mcq,easy,2,1,Ethical decision making|Legal compliance|Profit maximisation|Risk taking,A,Ethical decision making evaluates alternatives by moral standards.,vriddhi-curated|free,2026-27,BBA,false,,
A situation with two conflicting but valid moral choices is an ethical,Business Ethics and Corporate Governance,fill_in_blank,easy,2,1,,dilemma,An ethical dilemma forces a choice between conflicting moral principles.,vriddhi-curated|free,2026-27,BBA,false,,
Utilitarianism judges actions by their consequences for overall happiness,Business Ethics and Corporate Governance,true_false,easy,2,1,True|False,A,Utilitarianism evaluates actions by their consequences for the greatest good.,vriddhi-curated|free,2026-27,BBA,false,,
List the stages of ethical decision making,Business Ethics and Corporate Governance,short_answer,easy,2,2,,Identifying the issue gathering facts evaluating alternatives deciding and reviewing the outcome.,These steps structure an ethical decision.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the theories of business ethics,Business Ethics and Corporate Governance,long_answer,medium,2,5,,The main theories are utilitarianism deontology and virtue ethics which judge actions by consequences duties or the character of the agent respectively.,Contrast consequentialist duty based and virtue approaches.,vriddhi-curated|free,2026-27,BBA,false,,
Ethics applied to marketing advertising and pricing is,Business Ethics and Corporate Governance,mcq,easy,3,1,Marketing ethics|Financial ethics|HR ethics|Production ethics,A,Marketing ethics governs honest advertising pricing and selling.,vriddhi-curated|free,2026-27,BBA,false,,
Misleading or false advertising is an unethical marketing practice,Business Ethics and Corporate Governance,true_false,easy,3,1,True|False,A,Deceptive advertising misleads consumers and violates ethics.,vriddhi-curated|free,2026-27,BBA,false,,
Manipulating financial statements to mislead investors is,Business Ethics and Corporate Governance,fill_in_blank,medium,3,1,,window dressing,Window dressing presents a misleadingly favourable financial picture.,vriddhi-curated|free,2026-27,BBA,false,,
List ethical issues in human resource management,Business Ethics and Corporate Governance,short_answer,easy,3,2,,Discrimination favouritism unsafe conditions and unfair compensation.,These issues raise ethical concerns in managing people.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the ethical issues in marketing,Business Ethics and Corporate Governance,long_answer,medium,3,5,,Marketing ethics covers deceptive advertising unsafe products misleading pricing and manipulative selling all of which harm consumers and breach trust.,Describe each marketing ethics issue and its harm.,vriddhi-curated|free,2026-27,BBA,false,,
The system by which companies are directed and controlled is,Business Ethics and Corporate Governance,mcq,easy,4,1,Corporate governance|Marketing management|Operations|Auditing,A,Corporate governance is the framework for directing and controlling companies.,vriddhi-curated|free,2026-27,BBA,false,,
The body elected by shareholders to oversee management is the board of,Business Ethics and Corporate Governance,fill_in_blank,easy,4,1,,directors,The board of directors represents shareholders and oversees management.,vriddhi-curated|free,2026-27,BBA,false,,
Transparency accountability fairness and responsibility are principles of good governance,Business Ethics and Corporate Governance,true_false,easy,4,1,True|False,A,These four pillars underpin sound corporate governance.,vriddhi-curated|free,2026-27,BBA,false,,
List the pillars of corporate governance,Business Ethics and Corporate Governance,short_answer,easy,4,2,,Transparency accountability fairness and responsibility.,These pillars guide how companies should be governed.,vriddhi-curated|free,2026-27,BBA,false,,
