text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The function concerned with converting inputs into outputs of goods and services is,Production and Operations Management,mcq,easy,1,1,Production management|Marketing management|Financial management|Personnel management,A,Production management transforms inputs into valuable outputs.,vriddhi-curated|free,2026-27,BBA,false,,
The system that produces standardised goods in large volume is,Production and Operations Management,mcq,medium,1,1,Mass production|Job production|Batch production|Project production,A,Mass production makes large volumes of standardised products.,vriddhi-curated|free,2026-27,BBA,false,,
The production of goods one at a time to customer specification is called,Production and Operations Management,fill_in_blank,easy,1,1,,job production,Job production makes unique items to order.,vriddhi-curated|free,2026-27,BBA,false,,
Production management and operations management are entirely different concepts,Production and Operations Management,true_false,easy,1,1,True|False,B,Operations management is the broader term that includes services as well as goods.,vriddhi-curated|free,2026-27,BBA,false,,
List the objectives of production management,Production and Operations Management,short_answer,easy,1,2,,Right quality right quantity right time and minimum cost.,These objectives ensure efficient and customer satisfying production.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the scope of production and operations management,Production and Operations Management,long_answer,medium,1,5,,The scope covers product design process planning plant location and layout production planning and control quality and maintenance management.,Cover the activities from design to control and improvement.,vriddhi-curated|free,2026-27,BBA,false,,
The decision about where to set up a plant is,Production and Operations Management,mcq,easy,2,1,Plant location|Product design|Quality control|Maintenance,A,Plant location chooses the site for the production facility.,vriddhi-curated|free,2026-27,BBA,false,,
The physical arrangement of machines and departments within a plant is the plant,Production and Operations Management,fill_in_blank,easy,2,1,,layout,Plant layout arranges facilities for efficient flow of work.,vriddhi-curated|free,2026-27,BBA,false,,
A product layout is best suited for continuous mass production,Production and Operations Management,true_false,easy,2,1,True|False,A,Product layout arranges machines in the sequence of operations for mass output.,vriddhi-curated|free,2026-27,BBA,false,,
List the factors affecting plant location,Production and Operations Management,short_answer,easy,2,2,,Nearness to raw materials market transport labour power and government incentives.,These factors influence the cost and convenience of a site.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the types of plant layout,Production and Operations Management,long_answer,medium,2,5,,Layouts include product layout process layout fixed position layout and cellular layout each suited to different types of production and volume.,Describe each layout and the production setting it suits.,vriddhi-curated|free,2026-27,BBA,false,,
The process of deciding what when and how much to produce is,Production and Operations Management,mcq,easy,3,1,Production planning|Quality control|Maintenance|Purchasing,A,Production planning determines what and how much to produce and when.,vriddhi-curated|free,2026-27,BBA,false,,
The document that lists the materials and operations required to make a product is the,Production and Operations Management,fill_in_blank,medium,3,1,,bill of materials,The bill of materials details all components needed for a product.,vriddhi-curated|free,2026-27,BBA,false,,
Routing determines the sequence of operations for a job,Production and Operations Management,true_false,easy,3,1,True|False,A,Routing fixes the path and sequence of operations for production.,vriddhi-curated|free,2026-27,BBA,false,,
List the steps in production planning and control,Production and Operations Management,short_answer,easy,3,2,,Routing scheduling dispatching and follow up.,These steps plan and control the flow of production.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of production planning and control,Production and Operations Management,long_answer,medium,3,5,,Production planning and control ensures optimum use of resources timely delivery reduced costs and smooth workflow by planning scheduling and monitoring production.,Cover resource use delivery and cost benefits.,vriddhi-curated|free,2026-27,BBA,false,,
The function that ensures materials are available in the right quantity at the right time is,Production and Operations Management,mcq,easy,4,1,Materials management|Marketing|Finance|Recruitment,A,Materials management handles procurement storage and issue of materials.,vriddhi-curated|free,2026-27,BBA,false,,
The level of inventory at which a new order must be placed is the,Production and Operations Management,fill_in_blank,medium,4,1,,reorder level,The reorder level triggers replenishment before stock runs out.,vriddhi-curated|free,2026-27,BBA,false,,
Total quality management makes quality the responsibility of every employee,Production and Operations Management,true_false,easy,4,1,True|False,A,TQM involves everyone in continuous improvement of quality.,vriddhi-curated|free,2026-27,BBA,false,,
List the techniques of inventory control,Production and Operations Management,short_answer,easy,4,2,,ABC analysis economic order quantity reorder level and just in time.,These techniques balance inventory cost with availability.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the objectives of quality management,Production and Operations Management,long_answer,medium,4,5,,Quality management aims to meet customer requirements prevent defects reduce waste and improve reliability through standards inspection and continuous improvement.,Cover customer satisfaction and defect prevention.,vriddhi-curated|free,2026-27,BBA,false,,
