text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The process of recording business transactions in the books of accounts is called,Financial Accounting,mcq,easy,1,1,Book keeping|Auditing|Budgeting|Costing,A,Book keeping is the systematic recording of financial transactions.,vriddhi-curated|free,2026-27,BBA,false,,
Which accounting principle says revenue should be recorded when it is earned not when cash is received,Financial Accounting,mcq,easy,1,1,Accrual concept|Money measurement|Going concern|Cost concept,A,The accrual concept records revenue and expenses when they occur regardless of cash flow.,vriddhi-curated|free,2026-27,BBA,false,,
The accounting equation is expressed as Assets equals Liabilities plus,Financial Accounting,fill_in_blank,easy,1,1,,capital,Assets equal liabilities plus owners equity or capital.,vriddhi-curated|free,2026-27,BBA,false,,
The convention of conservatism means anticipate no profit but provide for all possible losses,Financial Accounting,true_false,medium,1,1,True|False,A,Conservatism guides accountants to be cautious and not overstate income or assets.,vriddhi-curated|free,2026-27,BBA,false,,
State any four users of accounting information,Financial Accounting,short_answer,easy,1,2,,Owners investors creditors managers government and employees.,Each user needs accounting information for different decisions.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the going concern concept and its significance,Financial Accounting,long_answer,medium,1,5,,The going concern concept assumes the business will continue for the foreseeable future. Assets are therefore valued at cost and not at liquidation value and expenses are allocated over periods.,This assumption underlies depreciation and the classification of assets and liabilities.,vriddhi-curated|free,2026-27,BBA,false,,
A business has total assets of 500000 and liabilities of 200000. The capital of the owner is,Financial Accounting,numerical,easy,1,2,,300000,Capital equals assets minus liabilities so 500000 minus 200000 equals 300000.,vriddhi-curated|free,2026-27,BBA,false,,
Which book is the first and original record where transactions are first entered,Financial Accounting,mcq,easy,2,1,Journal|Ledger|Trial balance|Balance sheet,A,The journal is the book of original entry where transactions are first recorded.,vriddhi-curated|free,2026-27,BBA,false,,
The account that is debited when goods are purchased for cash is,Financial Accounting,mcq,easy,2,1,Purchases account|Sales account|Cash account|Capital account,A,Purchases are debited and cash is credited when goods are bought for cash.,vriddhi-curated|free,2026-27,BBA,false,,
The golden rule for personal accounts is debit the receiver and credit the,Financial Accounting,fill_in_blank,easy,2,1,,giver,Personal accounts follow the rule debit the receiver credit the giver.,vriddhi-curated|free,2026-27,BBA,false,,
A trial balance is a statement that verifies the arithmetical accuracy of ledger balances,Financial Accounting,true_false,easy,2,1,True|False,A,A trial balance checks that total debits equal total credits.,vriddhi-curated|free,2026-27,BBA,false,,
Pass the journal entry for goods sold on credit to Ravi for 10000,Financial Accounting,short_answer,medium,2,2,,Debit Ravi account 10000 and credit Sales account 10000.,Ravi is the receiver so he is debited and sales is a nominal gain so it is credited.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the objectives of preparing a trial balance,Financial Accounting,long_answer,medium,2,5,,A trial balance checks arithmetical accuracy of postings and helps locate errors. It provides the balances needed to prepare final accounts and gives a summary of all ledger accounts.,Note that a tallied trial balance does not guarantee that no errors exist.,vriddhi-curated|free,2026-27,BBA,false,,
A firm purchased goods for 25000 and paid carriage of 1000 in cash. The total amount to be debited to purchases is,Financial Accounting,numerical,medium,2,2,,25000,Carriage inward is debited separately to carriage account not to purchases unless the question specifies otherwise.,vriddhi-curated|free,2026-27,BBA,false,,
The cash book which has both cash and bank columns on each side is called a,Financial Accounting,mcq,easy,3,1,Two column cash book|Petty cash book|Sales book|Purchases book,A,A two column cash book records cash and bank transactions side by side.,vriddhi-curated|free,2026-27,BBA,false,,
Credit sales are recorded in which subsidiary book,Financial Accounting,mcq,easy,3,1,Sales book|Cash book|Purchases book|Journal proper,A,Credit sales go in the sales book while cash sales go in the cash book.,vriddhi-curated|free,2026-27,BBA,false,,
The petty cash book is maintained under which system,Financial Accounting,fill_in_blank,easy,3,1,,imprest,Under the imprest system a fixed amount is given to the petty cashier and reimbursed periodically.,vriddhi-curated|free,2026-27,BBA,false,,
Cash sales of 5000 should be entered in the sales book,Financial Accounting,true_false,medium,3,1,True|False,B,Only credit sales go in the sales book; cash sales are recorded in the cash book.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between a cash book and a pass book,Financial Accounting,short_answer,medium,3,2,,A cash book is maintained by the business and records its own cash and bank dealings. A pass book is kept by the bank and shows the same transactions from the banks point of view.,The same transaction appears on opposite sides of the two books.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the advantages of maintaining subsidiary books,Financial Accounting,long_answer,medium,3,5,,Subsidiary books divide the journal so similar transactions are recorded together. They save time allow division of work and make information easy to find and post to the ledger.,Cover division of work specialisation and ease of posting.,vriddhi-curated|free,2026-27,BBA,false,,
A trader received cash 6000 and allowed discount 200. The amount debited to discount allowed is,Financial Accounting,numerical,easy,3,2,,200,Discount allowed is a loss to the business and is debited at the amount of the discount given.,vriddhi-curated|free,2026-27,BBA,false,,
