text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
Macroeconomics is the study of the economy as a whole including aggregates such as,Business Economics II,mcq,easy,1,1,National income and employment|Individual firm pricing|Single consumer demand|One industry output,A,Macroeconomics deals with economy wide aggregates such as national income and total employment.,vriddhi-curated|free,2026-27,BBA,false,,
The total market value of all final goods and services produced within a country in a year is,Business Economics II,mcq,easy,1,1,Gross Domestic Product|Gross National Product|Personal Income|Disposable Income,A,GDP measures production within the domestic territory regardless of who owns the factors.,vriddhi-curated|free,2026-27,BBA,false,,
GDP measured at current year prices is called nominal GDP while at base year prices it is,Business Economics II,fill_in_blank,medium,1,1,,real GDP,Real GDP uses constant base year prices to remove the effect of inflation.,vriddhi-curated|free,2026-27,BBA,false,,
National income is measured by the product income and expenditure methods which should give the same result,Business Economics II,true_false,medium,1,1,True|False,A,The three methods measure the same flow and therefore should yield equal totals.,vriddhi-curated|free,2026-27,BBA,false,,
List the three methods of measuring national income,Business Economics II,short_answer,easy,1,2,,The product or value added method the income method and the expenditure method.,Each measures the same national income from a different angle.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the difficulties in measuring national income,Business Economics II,long_answer,medium,1,5,,Difficulties include the large non monetised sector double counting lack of reliable data and the treatment of depreciation and indirect taxes especially in developing countries.,Cover conceptual and statistical problems in national income estimation.,vriddhi-curated|free,2026-27,BBA,false,,
Money serves primarily as a medium of exchange a measure of value and a,Business Economics II,mcq,easy,2,1,Store of value|Source of income|Tax instrument|Factor of production,A,The functions of money are medium of exchange unit of account and store of value.,vriddhi-curated|free,2026-27,BBA,false,,
The central bank of India is the,Business Economics II,mcq,easy,2,1,Reserve Bank of India|State Bank of India|NITI Aayog|SEBI,A,The Reserve Bank of India is the central bank and monetary authority of India.,vriddhi-curated|free,2026-27,BBA,false,,
The rate at which the central bank lends to commercial banks against securities is the,Business Economics II,fill_in_blank,medium,2,1,,repo rate,The repo rate is the rate at which the RBI lends to banks short term.,vriddhi-curated|free,2026-27,BBA,false,,
An increase in the cash reserve ratio reduces the lending capacity of banks,Business Economics II,true_false,medium,2,1,True|False,A,A higher CRR locks more deposits with the central bank leaving less to lend.,vriddhi-curated|free,2026-27,BBA,false,,
List the quantitative instruments of monetary policy,Business Economics II,short_answer,easy,2,2,,Bank rate repo rate cash reserve ratio statutory liquidity ratio and open market operations.,These instruments regulate the quantity and cost of credit.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the functions of the central bank,Business Economics II,long_answer,medium,2,5,,The central bank issues currency acts as banker to the government and banks controls credit and manages foreign exchange. It is the lender of last resort and custodian of reserves.,Cover note issue government and banker functions and credit control.,vriddhi-curated|free,2026-27,BBA,false,,
A sustained rise in the general price level over time is called,Business Economics II,mcq,easy,3,1,Inflation|Deflation|Recession|Depreciation,A,Inflation is a persistent increase in the general price level.,vriddhi-curated|free,2026-27,BBA,false,,
Inflation caused by excessive aggregate demand is called,Business Economics II,fill_in_blank,medium,3,1,,demand pull inflation,Demand pull inflation occurs when demand exceeds the economys capacity to supply.,vriddhi-curated|free,2026-27,BBA,false,,
A business cycle has four phases peak recession trough and recovery,Business Economics II,true_false,easy,3,1,True|False,A,The business cycle alternates between expansion and contraction through these phases.,vriddhi-curated|free,2026-27,BBA,false,,
State the causes of inflation,Business Economics II,short_answer,medium,3,2,,Demand side pressures and cost side pressures such as rising wages and input prices drive inflation.,Inflation is classified as demand pull or cost push by its cause.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the effects of inflation on the economy,Business Economics II,long_answer,medium,3,5,,Inflation redistributes income from creditors to debtors distorts saving and investment and erodes the value of money. It hurts fixed income groups and can reduce international competitiveness.,Cover effects on income distribution saving and external trade.,vriddhi-curated|free,2026-27,BBA,false,,
The policy of government taxation and public expenditure to influence the economy is,Business Economics II,mcq,easy,4,1,Fiscal policy|Monetary policy|Trade policy|Industrial policy,A,Fiscal policy uses taxation and spending to manage aggregate demand.,vriddhi-curated|free,2026-27,BBA,false,,
A budget in which government expenditure exceeds revenue is called a,Business Economics II,fill_in_blank,easy,4,1,,deficit budget,A deficit budget spends more than it receives in revenue.,vriddhi-curated|free,2026-27,BBA,false,,
A progressive tax takes a higher percentage of income from higher income earners,Business Economics II,true_false,easy,4,1,True|False,A,A progressive tax rises as a share of income as income rises.,vriddhi-curated|free,2026-27,BBA,false,,
List the objectives of fiscal policy,Business Economics II,short_answer,easy,4,2,,Full employment price stability economic growth and equitable distribution of income.,These goals guide the use of taxation and expenditure.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the difference between direct and indirect taxes,Business Economics II,long_answer,medium,4,5,,Direct taxes such as income tax are paid by the person on whom they are levied and cannot be shifted. Indirect taxes such as GST are levied on goods and can be shifted to consumers.,The key difference is the shifting of the tax burden.,vriddhi-curated|free,2026-27,BBA,false,,
The exchange of goods and services between countries is called,Business Economics II,mcq,easy,5,1,International trade|Domestic trade|Barter|Distribution,A,International trade is the exchange of goods and services across national borders.,vriddhi-curated|free,2026-27,BBA,false,,
The record of all economic transactions between a country and the rest of the world is the,Business Economics II,fill_in_blank,easy,5,1,,balance of payments,The balance of payments records all external transactions over a period.,vriddhi-curated|free,2026-27,BBA,false,,
The theory that a country should specialise in goods it can produce at a lower opportunity cost is comparative advantage,Business Economics II,true_false,medium,5,1,True|False,A,Comparative advantage is the basis for beneficial specialisation and trade.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between balance of trade and balance of payments,Business Economics II,short_answer,medium,5,2,,Balance of trade records only merchandise exports and imports. Balance of payments records all transactions including services capital and financial flows.,Balance of payments is broader than the balance of trade.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the arguments for free trade and protection,Business Economics II,long_answer,medium,5,5,,Free trade raises efficiency and consumer choice through specialisation. Protection defends infant industries and employment and corrects balance of payments deficits.,Present both sides of the trade policy debate.,vriddhi-curated|free,2026-27,BBA,false,,
Economic growth refers to an increase in the economys real output over time,Business Economics II,mcq,easy,6,1,True|False|Only during inflation|Only in developed countries,A,Economic growth is a sustained rise in real national output.,vriddhi-curated|free,2026-27,BBA,false,,
Economic development is a broader concept than economic growth because it includes,Business Economics II,mcq,medium,6,1,Social and structural change|Only price changes|Only population change|Only export change,A,Development includes growth plus improvements in welfare distribution and structure.,vriddhi-curated|free,2026-27,BBA,false,,
The indicator that combines income education and life expectancy to measure development is the,Business Economics II,fill_in_blank,medium,6,1,,Human Development Index,The HDI combines per capita income education and life expectancy.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between economic growth and economic development,Business Economics II,short_answer,medium,6,2,,Growth is a quantitative rise in output while development is a qualitative process that improves living standards and economic structure.,Development is growth plus social and structural progress.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the factors that determine economic development,Business Economics II,long_answer,medium,6,5,,Development depends on natural resources capital technology human capital and institutional factors such as stable government and property rights.,Cover economic and non economic determinants of development.,vriddhi-curated|free,2026-27,BBA,false,,
Assertion: Deficit financing can cause inflation. Reason: It increases the money supply faster than the supply of goods,Business Economics II,mcq,medium,4,1,Both assertion and reason are true and reason explains assertion|Both are true but reason does not explain assertion|Assertion is true but reason is false|Assertion is false but reason is true,A,Deficit financing injects money without matching goods causing demand pull inflation.,vriddhi-curated|free,2026-27,BBA,false,,
Match the instrument to the policy,Business Economics II,mcq,medium,2,1,Repo rate - monetary policy|Income tax - monetary policy|Public spending - monetary policy|Open market operations - fiscal policy,A,The repo rate is a monetary tool while taxes and spending are fiscal tools.,vriddhi-curated|free,2026-27,BBA,false,,
The phase of the business cycle marked by falling output and rising unemployment is,Business Economics II,mcq,easy,3,1,Recession|Recovery|Boom|Peak,A,A recession is a period of declining output and rising unemployment.,vriddhi-curated|free,2026-27,BBA,false,,
The ratio that links the money supply to high powered money is the money,Business Economics II,fill_in_blank,hard,2,1,,multiplier,The money multiplier shows how much money supply expands per unit of reserve money.,vriddhi-curated|free,2026-27,BBA,false,,
The currency that a country uses in international transactions and reserves is called hard currency,Business Economics II,true_false,medium,5,1,True|False,A,Hard currency is freely convertible and widely accepted internationally.,vriddhi-curated|free,2026-27,BBA,false,,
If the exchange rate of the rupee falls against the dollar Indian exports become,Business Economics II,mcq,medium,5,1,Cheaper abroad|Costlier abroad|Unaffected|Impossible to sell,A,A weaker rupee makes Indian goods cheaper in foreign currency terms.,vriddhi-curated|free,2026-27,BBA,false,,
State the phases of the business cycle,Business Economics II,short_answer,easy,3,2,,Expansion or boom peak recession or contraction trough and recovery.,These phases repeat over the course of the business cycle.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A country is experiencing high inflation and a central bank wants to slow it down. Identify the policy and two instruments the bank can use,Business Economics II,case_based,hard,2,5,,The bank should use contractionary monetary policy. It can raise the repo rate and the cash reserve ratio to reduce money supply and cool demand.,Apply tight money tools to reduce aggregate demand and control inflation.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A country imports more than it exports and faces a falling currency. Explain the problem and two measures to correct it,Business Economics II,case_based,hard,5,5,,The country has a trade deficit weakening its currency. It can promote exports and restrict imports through tariffs and exchange rate management.,Diagnose the trade deficit and propose corrective trade measures.,vriddhi-curated|free,2026-27,BBA,false,,
The total income available to households after paying direct taxes is called,Business Economics II,mcq,medium,1,1,Disposable income|National income|Personal income|Gross income,A,Disposable income is personal income minus direct taxes.,vriddhi-curated|free,2026-27,BBA,false,,
GNP equals GDP plus net factor income from abroad,Business Economics II,true_false,medium,1,1,True|False,A,GNP adds net factor income earned from abroad to GDP.,vriddhi-curated|free,2026-27,BBA,false,,
A country produces final goods worth 1000 and intermediate goods worth 400. GDP measured by the value added method should count,Business Economics II,numerical,easy,1,2,,1000,Only final goods are counted to avoid double counting intermediate goods.,vriddhi-curated|free,2026-27,BBA,false,,
If nominal GDP is 1200 and the price index is 120 the real GDP is,Business Economics II,numerical,medium,1,2,,1000,Real GDP equals nominal GDP divided by the price index times 100 so 1200 divided by 120 times 100 equals 1000.,vriddhi-curated|free,2026-27,BBA,false,,
The purchasing power of money falls when the price level rises,Business Economics II,true_false,easy,3,1,True|False,A,As prices rise each unit of money buys fewer goods so its value falls.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the functions of money,Business Economics II,long_answer,medium,2,5,,Money acts as a medium of exchange a unit of account a store of value and a standard of deferred payment. These functions overcome the drawbacks of barter.,Describe each function and how money overcomes barter limitations.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the meaning and components of the balance of payments,Business Economics II,long_answer,medium,5,5,,The balance of payments has a current account covering trade and income and a capital account covering financial flows. The two together must balance with official reserves.,Describe the current and capital accounts and the balancing mechanism.,vriddhi-curated|free,2026-27,BBA,false,,
Describe the characteristics of a developing economy,Business Economics II,long_answer,medium,6,5,,A developing economy shows low per capita income heavy dependence on agriculture high population growth unemployment and dualism between modern and traditional sectors.,Cover income structure demographic and dualistic features.,vriddhi-curated|free,2026-27,BBA,false,,
A bank receives a fresh deposit of 10000 and the reserve requirement is twenty percent. The maximum additional credit it can create under the simple multiplier is,Business Economics II,numerical,hard,2,2,,40000,The money multiplier is one divided by the reserve ratio so one divided by 0.2 equals 5 and 5 times 10000 equals 50000 total less the initial 10000 gives 40000.,vriddhi-curated|free,2026-27,BBA,false,,
