text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The Preamble declares India to be a:,Political Science,mcq,easy,Preamble and Fundamental Rights,1,Sovereign socialist secular democratic republic|Theocracy|Monarchy|Federation of provinces only,A,The Preamble is the key to the constitution's philosophy and objectives.,political,2026-27,BA,false,,
The words socialist and secular were inserted into the Preamble by the:,Political Science,mcq,medium,Preamble and Fundamental Rights,1,42nd Amendment|44th Amendment|1st Amendment|86th Amendment,A,The 42nd Amendment of 1976 adopted the famous Kiriti mantra language.,political,2026-27,BA,false,,
Articles 12 to 35 of the Constitution deal with:,Political Science,mcq,easy,Preamble and Fundamental Rights,1,Fundamental Rights|Fundamental Duties|Directive Principles of State Policy|Emergency powers,B,Part III of the Constitution contains the fundamental rights.,political,2026-27,BA,false,,
The right to equality before law is guaranteed by Article:,Political Science,mcq,medium,Preamble and Fundamental Rights,1,14|19|21|32,A,Article 14 guarantees equality before law and equal protection of the laws.,political,2026-27,BA,false,,
List any four fundamental freedoms guaranteed by Article 19.,Political Science,short_answer,medium,Preamble and Fundamental Rights,2,,Freedom of speech and expression; to assemble peacefully; to form associations; to move freely; to reside and settle anywhere; and to practice any profession.,,political,2026-27,BA,false,,
The Parliament of India consists of:,Political Science,mcq,easy,Parliament,1,The Lok Sabha and the Rajya Sabha|The Lok Sabha and the President|The Rajya Sabha and the Governor|The President and the Supreme Court,A,India follows a bicameral legislature with the President as its head.,political,2026-27,BA,false,,
The maximum strength of the Lok Sabha under the Constitution is:,Political Science,mcq,medium,Parliament,1,543|552|600|500,B,Article 81 fixes the ceiling at 552 members (530 elected and 20 nominated).,political,2026-27,BA,false,,
A money bill can be introduced only in the:,Political Science,mcq,medium,Parliament,1,Rajya Sabha|Lok Sabha|Either house at any time|President's council,B,Only the lower house can introduce it and the President's recommendation is needed.,political,2026-27,BA,false,,
The Speaker of the Lok Sabha is elected by the members of the Lok Sabha. This statement is:,Political Science,true_false,easy,Parliament,1,,True,The members of the house elect their own Speaker by majority vote.,political,2026-27,BA,false,,
State any three powers of the Rajya Sabha in relation to money bills.,Political Science,short_answer,hard,Parliament,2,,It may recommend changes to a money bill; it can hold the bill for at most six days; and it cannot reject the bill.,,political,2026-27,BA,false,,
The Supreme Court of India is located in:,Political Science,mcq,easy,Judiciary,1,Bhopal|New Delhi|Chennai|Kolkata,B,It was established in 1950 as the apex court of the land.,political,2026-27,BA,false,,
The basic structure doctrine was upheld in the:,Political Science,mcq,medium,Judiciary,1,Kesavananda Bharati case|Shankari Prasad case|Golaknath case|Menaka case,A,The 1973 judgment held that Parliament cannot alter the basic structure of the Constitution.,political,2026-27,BA,false,,
Judicial review is the power of the courts to:,Political Science,mcq,easy,Judiciary,1,Appoint judges|Examine the validity of laws against the Constitution|Audit government expenditure|Dissolve Parliament,B,Laws that violate the Constitution can be struck down as unconstitutional.,political,2026-27,BA,false,,
The original jurisdiction of the Supreme Court extends to disputes between the Government of India and a state or between states. This statement is:,Political Science,true_false,medium,Judiciary,1,,True,Such disputes are directly heard by the Supreme Court under Article 131.,political,2026-27,BA,false,,
Explain the collegium system for judicial appointments.,Political Science,short_answer,medium,Judiciary,2,,A collegium of the Chief Justice of India and the four senior most judges recommends appointments and transfers to the higher judiciary and the government acts on the recommendation.,,political,2026-27,BA,false,,
The 73rd Constitutional Amendment of 1992 gave constitutional status to:,Political Science,mcq,easy,Local Self Government,1,Urban local bodies|Panchayats|Cooperative societies|Municipal corporations,B,It added the eleventh schedule covering panchayat functions.,political,2026-27,BA,false,,
