text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The science of collecting organising analysing and interpreting data is,Business Statistics,mcq,easy,1,1,Statistics|Accounting|Marketing|Finance,A,Statistics is the discipline of handling data for decision making.,vriddhi-curated|free,2026-27,BBA,false,,
Data collected first hand for a specific purpose is called,Business Statistics,mcq,easy,1,1,Primary data|Secondary data|Tertiary data|Raw data,A,Primary data is original data gathered for the current study.,vriddhi-curated|free,2026-27,BBA,false,,
A characteristic that can take different values is called a,Business Statistics,fill_in_blank,easy,1,1,,variable,A variable is a quantity or attribute that varies among units.,vriddhi-curated|free,2026-27,BBA,false,,
Data that can be counted but not measured continuously such as number of students is discrete,Business Statistics,true_false,easy,1,1,True|False,A,Discrete data takes only countable whole number values.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between primary and secondary data,Business Statistics,short_answer,easy,1,2,,Primary data is collected first hand for the current purpose while secondary data already exists having been collected earlier by others.,The difference is in who collects it and for what purpose.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance and limitations of statistics,Business Statistics,long_answer,medium,1,5,,Statistics aids planning decision making and comparison by summarising large data. It is limited because it deals with aggregates not individuals and can be misused if the data is biased.,Cover the uses and the limitations of statistical methods.,vriddhi-curated|free,2026-27,BBA,false,,
The number that occurs most frequently in a data set is the,Business Statistics,mcq,easy,2,1,Mode|Mean|Median|Range,A,The mode is the value with the highest frequency.,vriddhi-curated|free,2026-27,BBA,false,,
The middle value that divides an ordered data set into two equal halves is the,Business Statistics,fill_in_blank,easy,2,1,,median,The median is the central value when data are arranged in order.,vriddhi-curated|free,2026-27,BBA,false,,
The arithmetic mean is affected by extreme values but the median is not,Business Statistics,true_false,medium,2,1,True|False,A,The mean uses every value so outliers distort it while the median is positional.,vriddhi-curated|free,2026-27,BBA,false,,
List the three measures of central tendency,Business Statistics,short_answer,easy,2,2,,Mean median and mode.,These three averages summarise the centre of a data set.,vriddhi-curated|free,2026-27,BBA,false,,
