text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
Organisational behaviour is the study of human behaviour in,Organisational Behaviour,mcq,easy,1,1,Organisational settings|Laboratory conditions|Isolation|Markets,A,OB studies how individuals and groups behave within organisations.,vriddhi-curated|free,2026-27,BBA,false,,
OB draws knowledge from psychology sociology and,Organisational Behaviour,mcq,easy,1,1,Anthropology|Astronomy|Botany|Zoology,A,OB is interdisciplinary drawing on psychology sociology anthropology and political science.,vriddhi-curated|free,2026-27,BBA,false,,
The three levels of analysis in OB are individual group and,Organisational Behaviour,fill_in_blank,easy,1,1,,organisational,OB analyses behaviour at the individual group and organisational levels.,vriddhi-curated|free,2026-27,BBA,false,,
Organisational behaviour is a purely theoretical field with no practical application,Organisational Behaviour,true_false,easy,1,1,True|False,B,OB is applied and helps managers improve productivity satisfaction and effectiveness.,vriddhi-curated|free,2026-27,BBA,false,,
State the disciplines that contribute to organisational behaviour,Organisational Behaviour,short_answer,easy,1,2,,Psychology sociology social psychology anthropology and political science.,Each discipline contributes insights at different levels of analysis.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the models of organisational behaviour,Organisational Behaviour,long_answer,medium,1,5,,The main models are autocratic custodial supportive and collegial. They differ in the basis of control and in employee orientation moving from obedience to self direction.,Describe each model and how employee orientation evolves across them.,vriddhi-curated|free,2026-27,BBA,false,,
The process by which individuals organise and interpret sensory impressions is called,Organisational Behaviour,mcq,easy,2,1,Perception|Motivation|Learning|Attitude,A,Perception is how people select organise and interpret their sensory environment.,vriddhi-curated|free,2026-27,BBA,false,,
Judging someone based on a single characteristic is called,Organisational Behaviour,mcq,easy,2,1,Halo effect|Stereotyping|Projection|Selective perception,A,The halo effect lets one trait colour the overall impression of a person.,vriddhi-curated|free,2026-27,BBA,false,,
A relatively stable set of characteristics that determines how a person thinks feels and behaves is called,Organisational Behaviour,fill_in_blank,easy,2,1,,personality,Personality is the stable pattern of traits that shapes behaviour.,vriddhi-curated|free,2026-27,BBA,false,,
Attitudes have three components cognitive affective and behavioural,Organisational Behaviour,true_false,easy,2,1,True|False,A,Attitudes consist of belief feeling and intention to act.,vriddhi-curated|free,2026-27,BBA,false,,
What are the components of an attitude,Organisational Behaviour,short_answer,easy,2,2,,The cognitive component is the belief the affective component is the feeling and the behavioural component is the intention to act.,These three components together make up an attitude.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the determinants of personality,Organisational Behaviour,long_answer,medium,2,5,,Personality is shaped by heredity environment family social and situational factors. Both inherited traits and life experiences combine to form personality.,Cover the heredity versus environment debate and situational influences.,vriddhi-curated|free,2026-27,BBA,false,,
The theory that links effort to performance to reward is called,Organisational Behaviour,mcq,medium,3,1,Expectancy theory|Classical conditioning|Trait theory|Attribution theory,A,Expectancy theory says motivation depends on expectancy instrumentality and valence.,vriddhi-curated|free,2026-27,BBA,false,,
Learning through observing others and imitating their behaviour is called,Organisational Behaviour,fill_in_blank,medium,3,1,,social learning,Social learning theory emphasises learning through observation and modelling.,vriddhi-curated|free,2026-27,BBA,false,,
Job satisfaction is the positive feeling about a job resulting from evaluating its characteristics,Organisational Behaviour,true_false,easy,3,1,True|False,A,Job satisfaction is an affective response to the job and its characteristics.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between intrinsic and extrinsic motivation,Organisational Behaviour,short_answer,medium,3,2,,Intrinsic motivation comes from the work itself such as interest and achievement. Extrinsic motivation comes from external rewards such as pay and promotion.,The source of the drive internal or external distinguishes the two.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the reinforcement theory of learning,Organisational Behaviour,long_answer,medium,3,5,,Reinforcement theory states that behaviour is a function of its consequences. Positive and negative reinforcement strengthen behaviour while punishment and extinction weaken it.,Describe each type of consequence and its effect on behaviour.,vriddhi-curated|free,2026-27,BBA,false,,
The stage of group development marked by conflict over roles is,Organisational Behaviour,mcq,medium,4,1,Storming|Forming|Norming|Performing,A,In the storming stage members experience conflict as they establish roles.,vriddhi-curated|free,2026-27,BBA,false,,
The tendency of group members to suppress disagreement to maintain harmony is called,Organisational Behaviour,fill_in_blank,medium,4,1,,groupthink,Groupthink occurs when the desire for consensus overrides realistic appraisal of alternatives.,vriddhi-curated|free,2026-27,BBA,false,,
A group is a set of people who interact to achieve individual rather than shared goals,Organisational Behaviour,true_false,medium,4,1,True|False,B,A group interacts to achieve shared goals; a team is a group with complementary skills and mutual accountability.,vriddhi-curated|free,2026-27,BBA,false,,
List the stages of group development,Organisational Behaviour,short_answer,easy,4,2,,Forming storming norming performing and adjourning.,These are the five stages in Tuckmans model of group development.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the difference between a group and a team,Organisational Behaviour,long_answer,medium,4,5,,A group has a common interest and individual accountability while a team has complementary skills shared goals and mutual accountability. Teams achieve synergy that groups may not.,Cover goals skills accountability and the synergy of teams.,vriddhi-curated|free,2026-27,BBA,false,,
