text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
An institution that accepts deposits and lends money is a,Banking and Insurance,mcq,easy,1,1,Bank|Stock exchange|Insurance company|Brokerage firm,A,A bank accepts deposits and grants loans and advances.,vriddhi-curated|free,2026-27,BBA,false,,
The bank that acts as banker to the government and other banks is the,Banking and Insurance,mcq,easy,2,1,Central bank|Commercial bank|Cooperative bank|Investment bank,A,The central bank acts as banker to the government and commercial banks.,vriddhi-curated|free,2026-27,BBA,false,,
The central bank of India is the Reserve Bank of,Banking and Insurance,fill_in_blank,easy,2,1,,India,The Reserve Bank of India is the countrys central bank.,vriddhi-curated|free,2026-27,BBA,false,,
Commercial banks create credit by lending more than their cash reserves,Banking and Insurance,true_false,easy,3,1,True|False,A,Banks create credit through the deposit and lending multiplier.,vriddhi-curated|free,2026-27,BBA,false,,
List the functions of commercial banks,Banking and Insurance,short_answer,easy,1,2,,Accepting deposits granting loans and advances and agency and utility services.,These are the primary and secondary functions of banks.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the functions of the Reserve Bank of India,Banking and Insurance,long_answer,medium,2,5,,The RBI issues currency acts as banker to government and banks controls credit manages foreign exchange and supervises the banking system.,Cover note issue banker functions credit control and supervision.,vriddhi-curated|free,2026-27,BBA,false,,
A deposit that cannot be withdrawn before a fixed maturity is a,Banking and Insurance,mcq,easy,3,1,Fixed deposit|Current account|Savings account|Recurring deposit,A,Fixed deposits are repayable only after a fixed term.,vriddhi-curated|free,2026-27,BBA,false,,
The account that allows deposits and withdrawals at any time for business is a,Banking and Insurance,fill_in_blank,easy,3,1,,current account,A current account permits frequent transactions for business.,vriddhi-curated|free,2026-27,BBA,false,,
A savings account usually pays interest while a current account usually does not,Banking and Insurance,true_false,easy,3,1,True|False,A,Savings accounts earn interest while current accounts typically do not.,vriddhi-curated|free,2026-27,BBA,false,,
List the types of bank deposits,Banking and Insurance,short_answer,easy,3,2,,Savings current fixed and recurring deposits.,These deposit types suit different customer needs.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the principles of sound lending,Banking and Insurance,long_answer,medium,3,5,,Sound lending follows the principles of safety liquidity profitability purpose and security ensuring loans are recoverable and productive.,Cover the five principles guiding bank lending.,vriddhi-curated|free,2026-27,BBA,false,,
