text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
A temporary endeavour undertaken to create a unique product or service is a,Project Management,mcq,easy,1,1,Project|Routine operation|Programme|Policy,A,A project is temporary and produces a unique deliverable.,vriddhi-curated|free,2026-27,BBA,false,,
The first phase of the project life cycle is,Project Management,mcq,easy,1,1,Initiation|Execution|Monitoring|Closure,A,Initiation defines the project and its objectives first.,vriddhi-curated|free,2026-27,BBA,false,,
The person responsible for delivering the project objectives is the project,Project Management,fill_in_blank,easy,1,1,,manager,The project manager leads planning and execution to meet objectives.,vriddhi-curated|free,2026-27,BBA,false,,
A project is a continuous ongoing operation like production,Project Management,true_false,easy,1,1,True|False,B,A project is temporary and unique unlike ongoing operations.,vriddhi-curated|free,2026-27,BBA,false,,
List the phases of the project life cycle,Project Management,short_answer,easy,1,2,,Initiation planning execution monitoring and control and closure.,These five phases take a project from idea to completion.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the characteristics of a project,Project Management,long_answer,medium,1,5,,A project has defined objectives a fixed duration unique output limited resources and cross functional teamwork and progresses through a life cycle.,Cover the temporary unique and resource bound nature of projects.,vriddhi-curated|free,2026-27,BBA,false,,
The statement of what the project will deliver is the project,Project Management,mcq,easy,2,1,Scope|Budget|Schedule|Risk,A,Scope defines the deliverables and boundaries of the project.,vriddhi-curated|free,2026-27,BBA,false,,
Breaking a project into smaller manageable parts is the work breakdown,Project Management,fill_in_blank,easy,2,1,,structure,The work breakdown structure decomposes work into tasks.,vriddhi-curated|free,2026-27,BBA,false,,
Project planning is the first and most important function of project management,Project Management,true_false,easy,2,1,True|False,A,Planning sets objectives scope schedule and resources for the project.,vriddhi-curated|free,2026-27,BBA,false,,
List the steps in project planning,Project Management,short_answer,easy,2,2,,Defining objectives identifying activities sequencing estimating resources and scheduling.,These steps build the project plan.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of project planning,Project Management,long_answer,medium,2,5,,Planning clarifies objectives allocates resources sets the schedule and provides the baseline for control reducing uncertainty and risk.,Cover clarity resource allocation and control baseline.,vriddhi-curated|free,2026-27,BBA,false,,
The network technique used to schedule project activities is,Project Management,mcq,easy,3,1,CPM and PERT|Ratio analysis|Break even analysis|Regression,A,CPM and PERT are network techniques for scheduling projects.,vriddhi-curated|free,2026-27,BBA,false,,
The longest path of activities through a project network is the,Project Management,fill_in_blank,easy,3,1,,critical path,The critical path determines the shortest project completion time.,vriddhi-curated|free,2026-27,BBA,false,,
PERT is used when activity durations are certain while CPM is used when they are uncertain,Project Management,true_false,medium,3,1,True|False,B,PERT handles uncertain durations while CPM uses deterministic durations.,vriddhi-curated|free,2026-27,BBA,false,,
