text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The system that provides information to managers for decision making is,Management Information Systems,mcq,easy,1,1,Management Information System|Transaction system|Accounting system|Inventory system,A,MIS supplies managers with information for planning and control.,vriddhi-curated|free,2026-27,BBA,false,,
Data that has been processed into a meaningful form is,Management Information Systems,mcq,easy,1,1,Information|Raw data|Input|Noise,A,Information is processed data that is meaningful and useful.,vriddhi-curated|free,2026-27,BBA,false,,
The physical components of a computer system are called,Management Information Systems,fill_in_blank,easy,1,1,,hardware,Hardware is the physical equipment of an information system.,vriddhi-curated|free,2026-27,BBA,false,,
An MIS is used only by top management and not by other levels,Management Information Systems,true_false,easy,1,1,True|False,B,MIS serves all management levels with appropriate information.,vriddhi-curated|free,2026-27,BBA,false,,
List the components of an information system,Management Information Systems,short_answer,easy,1,2,,Hardware software data procedures and people.,These five components together form an information system.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the characteristics of good information,Management Information Systems,long_answer,medium,1,5,,Good information is accurate timely complete relevant and accessible and supports the decisions it is meant for.,Cover accuracy timeliness completeness and relevance.,vriddhi-curated|free,2026-27,BBA,false,,
The system that records day to day business transactions is the,Management Information Systems,mcq,easy,2,1,Transaction processing system|Decision support system|Executive system|Expert system,A,TPS records and processes routine transactions.,vriddhi-curated|free,2026-27,BBA,false,,
The system that automates order processing billing and inventory is the,Management Information Systems,fill_in_blank,medium,2,1,,transaction processing system,TPS handles the routine data of daily operations.,vriddhi-curated|free,2026-27,BBA,false,,
Enterprise resource planning integrates all business functions into one system,Management Information Systems,true_false,easy,6,1,True|False,A,ERP integrates finance HR production and other functions in one system.,vriddhi-curated|free,2026-27,BBA,false,,
List the types of information systems,Management Information Systems,short_answer,easy,1,2,,Transaction processing management information decision support and executive information systems.,These systems serve different managerial levels and needs.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the role of information systems in business functions,Management Information Systems,long_answer,medium,2,5,,Information systems support marketing finance human resources and operations by automating transactions and providing information for decisions in each function.,Cover how systems support each functional area.,vriddhi-curated|free,2026-27,BBA,false,,
The system that supports semi structured decisions with models and analysis is the,Management Information Systems,mcq,easy,3,1,Decision support system|Transaction system|Payroll system|Inventory system,A,A DSS helps managers analyse alternatives for semi structured decisions.,vriddhi-curated|free,2026-27,BBA,false,,
The system designed for senior executives with summarised data is the,Management Information Systems,fill_in_blank,easy,3,1,,executive information system,An EIS gives executives a high level view of performance.,vriddhi-curated|free,2026-27,BBA,false,,
A decision support system makes decisions for the manager automatically,Management Information Systems,true_false,medium,3,1,True|False,B,A DSS supports the manager but the final decision remains with the manager.,vriddhi-curated|free,2026-27,BBA,false,,
List the components of a decision support system,Management Information Systems,short_answer,easy,3,2,,Database model base and user interface.,These three components enable analysis and what if modelling.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the features of an executive information system,Management Information Systems,long_answer,medium,3,5,,An EIS provides summarised graphical and easy to use access to key performance indicators and drill down capability for senior executives.,Cover summarisation graphics and drill down features.,vriddhi-curated|free,2026-27,BBA,false,,
The organised collection of related data is a,Management Information Systems,mcq,easy,4,1,Database|Spreadsheet|Report|File,A,A database is an organised collection of related data.,vriddhi-curated|free,2026-27,BBA,false,,
The software that manages a database is called a database management,Management Information Systems,fill_in_blank,easy,4,1,,system,A DBMS stores retrieves and manages data in a database.,vriddhi-curated|free,2026-27,BBA,false,,
A data warehouse stores historical data for analysis,Management Information Systems,true_false,easy,4,1,True|False,A,A data warehouse consolidates historical data for reporting and analysis.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between data and information,Management Information Systems,short_answer,medium,4,2,,Data are raw unprocessed facts while information is data that has been processed into a meaningful useful form.,Processing transforms data into information.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the advantages of database management systems,Management Information Systems,long_answer,medium,4,5,,A DBMS reduces data redundancy ensures consistency security and integrity and allows easy sharing and retrieval of data across users.,Cover redundancy reduction consistency and sharing benefits.,vriddhi-curated|free,2026-27,BBA,false,,
The process of creating and building information systems is system,Management Information Systems,mcq,easy,5,1,Development|Operation|Audit|Maintenance,A,System development designs and builds information systems.,vriddhi-curated|free,2026-27,BBA,false,,
The series of phases in building a system is the system development life,Management Information Systems,fill_in_blank,easy,5,1,,cycle,The SDLC is the structured process of system development.,vriddhi-curated|free,2026-27,BBA,false,,
Protecting information from unauthorised access is information security,Management Information Systems,true_false,easy,5,1,True|False,A,Information security protects confidentiality integrity and availability.,vriddhi-curated|free,2026-27,BBA,false,,
List the phases of the system development life cycle,Management Information Systems,short_answer,easy,5,2,,Feasibility analysis design development testing implementation and maintenance.,These phases take a system from idea to operation.,vriddhi-curated|free,2026-27,BBA,false,,
