text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
Business economics is best described as the application of economic theory to,Business Economics I,mcq,easy,1,1,Business decision making|Government budgeting|Political analysis|Social welfare,A,Business economics applies microeconomic analysis to the decisions of the firm.,vriddhi-curated|free,2026-27,BBA,false,,
The problem of what to produce how to produce and for whom to produce arises due to,Business Economics I,mcq,easy,1,1,Scarcity of resources|Government policy|Perfect information|Unlimited resources,A,Scarcity forces every economy to choose among competing uses of limited resources.,vriddhi-curated|free,2026-27,BBA,false,,
Opportunity cost is the value of the,Business Economics I,fill_in_blank,easy,1,1,,next best alternative forgone,Opportunity cost measures what is sacrificed when a choice is made.,vriddhi-curated|free,2026-27,BBA,false,,
Microeconomics studies individual firms and households rather than the whole economy,Business Economics I,true_false,easy,1,1,True|False,A,Microeconomics focuses on individual economic units while macroeconomics studies aggregates.,vriddhi-curated|free,2026-27,BBA,false,,
State the central problems of an economy,Business Economics I,short_answer,easy,1,2,,What to produce how to produce and for whom to produce.,These three allocation problems follow from the scarcity of resources.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the nature of business economics,Business Economics I,long_answer,medium,1,5,,Business economics is microeconomic in nature and decision oriented. It is normative as it prescribes what the firm should do and uses tools like demand cost and profit analysis to guide managerial decisions.,Cover its micro basis decision focus normative character and use of economic tools.,vriddhi-curated|free,2026-27,BBA,false,,
The law of demand states that other things remaining equal the quantity demanded of a good,Business Economics I,mcq,easy,2,1,Falls when price rises|Rises when price rises|Is unaffected by price|Rises when income falls,A,Demand varies inversely with price under the law of demand.,vriddhi-curated|free,2026-27,BBA,false,,
If a ten percent fall in price raises quantity demanded by twenty percent demand is,Business Economics I,mcq,medium,2,1,Elastic|Inelastic|Unitary elastic|Perfectly inelastic,A,Percentage change in quantity exceeds the percentage change in price so demand is elastic.,vriddhi-curated|free,2026-27,BBA,false,,
Goods whose demand falls when income rises are called,Business Economics I,fill_in_blank,medium,2,1,,inferior goods,Inferior goods are replaced by better substitutes as income rises.,vriddhi-curated|free,2026-27,BBA,false,,
A movement along the demand curve is caused by a change in price while a shift is caused by other factors,Business Economics I,true_false,medium,2,1,True|False,A,Own price causes movement along the curve; income tastes and related prices shift it.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between a shift and a movement along the demand curve,Business Economics I,short_answer,medium,2,2,,A change in own price moves along the same demand curve. A change in income tastes or related prices shifts the whole curve to a new position.,Movement is a quantity response to price; a shift is a change in demand itself.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the determinants of price elasticity of demand,Business Economics I,long_answer,medium,2,5,,Elasticity depends on availability of substitutes the proportion of income spent the nature of the good and time period. More substitutes and higher budget share make demand more elastic.,Cover substitutes income share necessity versus luxury and time.,vriddhi-curated|free,2026-27,BBA,false,,
When price falls from 20 to 16 and quantity demanded rises from 40 to 48 units the price elasticity of demand is,Business Economics I,numerical,medium,2,2,,1,Percentage change in quantity is 8 over 40 or twenty percent and in price is 4 over 20 or twenty percent so elasticity equals one.,vriddhi-curated|free,2026-27,BBA,false,,
The law of diminishing marginal utility explains why the demand curve slopes,Business Economics I,mcq,easy,6,1,Downward|Upward|Horizontal|Vertical,A,As marginal utility falls with each extra unit the consumer pays less so the curve slopes down.,vriddhi-curated|free,2026-27,BBA,false,,
Total utility is maximum when marginal utility becomes,Business Economics I,fill_in_blank,medium,6,1,,zero,Total utility peaks when marginal utility reaches zero; beyond that it becomes negative.,vriddhi-curated|free,2026-27,BBA,false,,
An indifference curve shows combinations of two goods giving equal satisfaction to the consumer,Business Economics I,true_false,easy,6,1,True|False,A,All points on an indifference curve yield the same level of total utility.,vriddhi-curated|free,2026-27,BBA,false,,
State the law of equi-marginal utility,Business Economics I,short_answer,medium,6,2,,A consumer maximises satisfaction by spending so that the marginal utility per rupee is equal across all goods consumed.,Equilibrium requires the last rupee spent on every good to yield equal marginal utility.,vriddhi-curated|free,2026-27,BBA,false,,
Describe the properties of indifference curves,Business Economics I,long_answer,medium,6,5,,Indifference curves slope downward are convex to the origin and never intersect each other. Higher curves represent higher utility levels.,Cover the negative slope convexity and non intersection properties.,vriddhi-curated|free,2026-27,BBA,false,,
In the short run when one factor is fixed and others vary the firm is operating under the law of,Business Economics I,mcq,easy,3,1,Variable proportions|Constant proportions|Diminishing returns to scale|Increasing returns to scale,A,The law of variable proportions applies when one input is fixed and others vary.,vriddhi-curated|free,2026-27,BBA,false,,
Costs that do not change with the level of output are called,Business Economics I,fill_in_blank,easy,3,1,,fixed costs,Fixed costs remain constant in the short run regardless of output.,vriddhi-curated|free,2026-27,BBA,false,,
When marginal product is at its maximum the marginal cost is at its minimum,Business Economics I,true_false,hard,3,1,True|False,A,Marginal cost and marginal product are inversely related.,vriddhi-curated|free,2026-27,BBA,false,,
Define fixed cost and variable cost with one example each,Business Economics I,short_answer,easy,3,2,,Fixed costs such as rent do not vary with output. Variable costs such as raw materials vary directly with output.,The distinction holds only in the short run.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the law of variable proportions and its three stages,Business Economics I,long_answer,medium,3,5,,The law shows output change as more units of a variable factor combine with a fixed factor. It has increasing then diminishing then negative returns stages. Production is rational only in stage two.,Describe each stage and identify the rational stage for production.,vriddhi-curated|free,2026-27,BBA,false,,
Total fixed cost is 5000 and total variable cost at ten units is 3000. The total cost is,Business Economics I,numerical,easy,3,2,,8000,Total cost equals fixed cost plus variable cost so 5000 plus 3000 equals 8000.,vriddhi-curated|free,2026-27,BBA,false,,
