text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The management of the acquisition and use of funds to maximise firm value is,Financial Management,mcq,easy,1,1,Financial management|Marketing management|HRM|Operations management,A,Financial management plans and controls the procurement and use of funds.,vriddhi-curated|free,2026-27,BBA,false,,
The primary objective of financial management is,Financial Management,mcq,easy,1,1,Maximising shareholders wealth|Maximising sales only|Minimising employees|Avoiding all risk,A,Wealth maximisation increases the market value of shareholders equity.,vriddhi-curated|free,2026-27,BBA,false,,
The three major decisions of financial management are investment financing and,Financial Management,fill_in_blank,easy,1,1,,dividend,Investment financing and dividend decisions form the core of finance.,vriddhi-curated|free,2026-27,BBA,false,,
Profit maximisation and wealth maximisation always lead to the same decision,Financial Management,true_false,medium,1,1,True|False,B,Profit maximisation ignores timing and risk while wealth maximisation accounts for both.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between profit maximisation and wealth maximisation,Financial Management,short_answer,medium,1,2,,Profit maximisation seeks short term accounting profit ignoring risk and timing while wealth maximisation seeks long term market value considering both.,Wealth maximisation is the superior and more modern objective.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the functions of a financial manager,Financial Management,long_answer,medium,1,5,,The financial manager forecasts funds acquires finance allocates it to investments manages working capital and pays dividends while balancing risk and return.,Cover fund raising allocation and the dividend decision.,vriddhi-curated|free,2026-27,BBA,false,,
A rupee received today is worth more than a rupee received in future because of,Financial Management,mcq,easy,2,1,Time value of money|Depreciation|Inflation only|Taxation only,A,Money today can be invested to earn interest so early receipt has value.,vriddhi-curated|free,2026-27,BBA,false,,
The process of finding the present value of a future amount is called,Financial Management,fill_in_blank,easy,2,1,,discounting,Discounting converts a future value back to its present value.,vriddhi-curated|free,2026-27,BBA,false,,
An annuity is a series of equal payments made at equal intervals,Financial Management,true_false,easy,2,1,True|False,A,An annuity is a stream of equal periodic payments.,vriddhi-curated|free,2026-27,BBA,false,,
Define compound interest,Financial Management,short_answer,easy,2,2,,Compound interest is interest earned on both the original principal and the interest accumulated in earlier periods.,Compounding causes money to grow at an increasing rate.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the techniques of capital budgeting,Financial Management,long_answer,medium,3,5,,Techniques include traditional methods like payback and accounting rate of return and discounted methods like net present value and internal rate of return which consider the time value of money.,Contrast traditional and discounted cash flow techniques.,vriddhi-curated|free,2026-27,BBA,false,,
If 1000 is invested at ten percent compound interest for one year the amount is,Financial Management,numerical,easy,2,2,,1100,Amount equals principal times one plus rate so 1000 times 1.1 equals 1100.,vriddhi-curated|free,2026-27,BBA,false,,
The process of evaluating and selecting long term investment projects is,Financial Management,mcq,easy,3,1,Capital budgeting|Working capital management|Dividend policy|Costing,A,Capital budgeting evaluates long term investment proposals.,vriddhi-curated|free,2026-27,BBA,false,,
The time taken to recover the original investment is the,Financial Management,fill_in_blank,easy,3,1,,payback period,The payback period measures how long the investment takes to repay itself.,vriddhi-curated|free,2026-27,BBA,false,,
Net present value is the difference between the present value of cash inflows and the initial investment,Financial Management,true_false,easy,3,1,True|False,A,NPV discounts all cash flows and subtracts the initial outlay.,vriddhi-curated|free,2026-27,BBA,false,,
