text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The study of how individuals select buy use and dispose of goods is,Consumer Behaviour,mcq,easy,1,1,Consumer behaviour|Production management|Financial analysis|Operations research,A,Consumer behaviour studies the full cycle from selection to disposal.,vriddhi-curated|free,2026-27,BBA,false,,
The stimulus response model of consumer behaviour treats the buyer as a,Consumer Behaviour,mcq,easy,1,1,Black box|Open system|Static unit|Producer,A,The buyer black box transforms stimuli into purchase responses.,vriddhi-curated|free,2026-27,BBA,false,,
The study of consumer behaviour is important for market,Consumer Behaviour,fill_in_blank,easy,1,1,,segmentation,Understanding buyers helps marketers segment and target them effectively.,vriddhi-curated|free,2026-27,BBA,false,,
Consumer behaviour is a static field that does not change over time,Consumer Behaviour,true_false,easy,1,1,True|False,B,Consumer behaviour evolves with culture technology and social trends.,vriddhi-curated|free,2026-27,BBA,false,,
State the importance of studying consumer behaviour,Consumer Behaviour,short_answer,easy,1,2,,It helps design products set prices choose channels and create effective promotion to satisfy customers.,Marketers use consumer insights across the marketing mix.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the Howard Sheth model of consumer behaviour,Consumer Behaviour,long_answer,medium,1,5,,The Howard Sheth model explains buying as a process of inputs perceptual and learning constructs and outputs where information processing and learning shape the purchase decision.,Cover inputs information processing learning and output variables.,vriddhi-curated|free,2026-27,BBA,false,,
The broadest social factor shaping consumer values and wants is,Consumer Behaviour,mcq,easy,2,1,Culture|Reference group|Family|Opinion leader,A,Culture is the most fundamental determinant of wants and behaviour.,vriddhi-curated|free,2026-27,BBA,false,,
Groups that a person compares themselves with and that influence attitudes are,Consumer Behaviour,fill_in_blank,easy,2,1,,reference groups,Reference groups set norms that individuals adopt in their buying.,vriddhi-curated|free,2026-27,BBA,false,,
The family is a major influence on consumer buying decisions,Consumer Behaviour,true_false,easy,2,1,True|False,A,Family members especially parents and spouse strongly shape buying.,vriddhi-curated|free,2026-27,BBA,false,,
Define social class and its influence on buying,Consumer Behaviour,short_answer,medium,2,2,,Social class is a relatively homogeneous division of society and members of a class show similar brand preferences and buying patterns.,Social class affects what and where people buy.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the cultural influences on consumer behaviour,Consumer Behaviour,long_answer,medium,2,5,,Culture subculture and social class transmit values norms and preferences that shape what consumers consider acceptable and desirable.,Cover culture subculture and social class influences.,vriddhi-curated|free,2026-27,BBA,false,,
The stage of life that shapes buying such as single or married with children is the,Consumer Behaviour,mcq,medium,3,1,Family life cycle|Culture|Social class|Personality,A,The family life cycle affects consumption needs at each stage.,vriddhi-curated|free,2026-27,BBA,false,,
