text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The systematic investigation to discover new facts and solve problems is,Business Research Methods,mcq,easy,1,1,Research|Marketing|Accounting|Production,A,Research is a systematic enquiry to establish facts and solve problems.,vriddhi-curated|free,2026-27,BBA,false,,
Research that aims to solve a specific practical problem is,Business Research Methods,mcq,easy,1,1,Applied research|Pure research|Historical research|Descriptive research,A,Applied research addresses immediate practical problems.,vriddhi-curated|free,2026-27,BBA,false,,
Research conducted to expand fundamental knowledge is called,Business Research Methods,fill_in_blank,easy,1,1,,basic or pure research,Basic research seeks knowledge for its own sake without immediate use.,vriddhi-curated|free,2026-27,BBA,false,,
Research always begins with defining the problem,Business Research Methods,true_false,easy,1,1,True|False,A,Defining the problem clearly is the first and most important step.,vriddhi-curated|free,2026-27,BBA,false,,
List the steps in the research process,Business Research Methods,short_answer,easy,1,2,,Defining the problem review of literature formulating hypotheses research design data collection analysis and reporting.,These steps guide the research from problem to report.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the types of research,Business Research Methods,long_answer,medium,1,5,,Research may be basic or applied exploratory descriptive or causal and quantitative or qualitative depending on purpose and approach.,Classify research by purpose design and data type.,vriddhi-curated|free,2026-27,BBA,false,,
A tentative answer to a research question that is tested is a,Business Research Methods,mcq,easy,2,1,Hypothesis|Sample|Variable|Report,A,A hypothesis is a testable statement of expected relationship.,vriddhi-curated|free,2026-27,BBA,false,,
The review of existing studies on a topic is the,Business Research Methods,fill_in_blank,easy,2,1,,literature review,The literature review surveys prior work to frame the study.,vriddhi-curated|free,2026-27,BBA,false,,
A null hypothesis states that there is no relationship between variables,Business Research Methods,true_false,easy,2,1,True|False,A,The null hypothesis asserts no effect or relationship.,vriddhi-curated|free,2026-27,BBA,false,,
State the characteristics of a good research problem,Business Research Methods,short_answer,medium,2,2,,A good problem is clear significant researchable and feasible within time and resources.,These qualities make the problem worth studying and solvable.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of a literature review,Business Research Methods,long_answer,medium,2,5,,A literature review avoids duplication identifies gaps refines the problem and provides a theoretical foundation and context for the study.,Cover gap identification and theoretical grounding.,vriddhi-curated|free,2026-27,BBA,false,,
The overall plan for conducting the research is the,Business Research Methods,mcq,easy,3,1,Research design|Hypothesis|Questionnaire|Report,A,Research design is the blueprint for data collection and analysis.,vriddhi-curated|free,2026-27,BBA,false,,
The process of selecting a subset of a population for study is,Business Research Methods,fill_in_blank,easy,3,1,,sampling,Sampling selects a representative group from the population.,vriddhi-curated|free,2026-27,BBA,false,,
In simple random sampling every member of the population has an equal chance of selection,Business Research Methods,true_false,easy,3,1,True|False,A,Random sampling gives every unit an equal and independent chance.,vriddhi-curated|free,2026-27,BBA,false,,
List the types of sampling methods,Business Research Methods,short_answer,easy,3,2,,Probability methods like random stratified and cluster sampling and non probability methods like convenience and judgement sampling.,Sampling methods divide into probability and non probability.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the essentials of a good research design,Business Research Methods,long_answer,medium,3,5,,A good design is flexible appropriate efficient and economical and minimises bias and error while answering the research question reliably.,Cover flexibility efficiency and bias reduction.,vriddhi-curated|free,2026-27,BBA,false,,
Data collected directly from respondents for the study is,Business Research Methods,mcq,easy,4,1,Primary data|Secondary data|Published data|Historical data,A,Primary data is gathered first hand for the current research.,vriddhi-curated|free,2026-27,BBA,false,,
The tool consisting of a set of questions for respondents is a,Business Research Methods,fill_in_blank,easy,4,1,,questionnaire,A questionnaire is a structured set of questions for data collection.,vriddhi-curated|free,2026-27,BBA,false,,
Observation is a method of collecting data by watching behaviour,Business Research Methods,true_false,easy,4,1,True|False,A,Observation records behaviour directly without questioning respondents.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between primary and secondary data,Business Research Methods,short_answer,medium,4,2,,Primary data is original and collected for the study while secondary data already exists from earlier sources.,The difference lies in who collects and the original purpose.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the methods of collecting primary data,Business Research Methods,long_answer,medium,4,5,,Primary data is collected by observation interview questionnaire and schedule each with its own strengths and limitations for different situations.,Describe each method and when it is appropriate.,vriddhi-curated|free,2026-27,BBA,false,,
The process of examining data to draw conclusions is,Business Research Methods,mcq,easy,5,1,Data analysis|Data collection|Sampling|Report writing,A,Data analysis transforms raw data into meaningful findings.,vriddhi-curated|free,2026-27,BBA,false,,
