text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The process of creating communicating and delivering value to customers is called,Marketing Management,mcq,easy,1,1,Marketing|Production|Finance|Auditing,A,Marketing is the activity of creating communicating delivering and exchanging offerings of value.,vriddhi-curated|free,2026-27,BBA,false,,
The marketing concept holds that the firm should focus on,Marketing Management,mcq,easy,1,1,Customer needs|Production volume|Selling pressure|Internal efficiency only,A,The marketing concept centres the firm on satisfying customer needs profitably.,vriddhi-curated|free,2026-27,BBA,false,,
The set of controllable marketing variables the firm combines is called the marketing,Marketing Management,fill_in_blank,easy,1,1,,mix,The marketing mix combines product price place and promotion.,vriddhi-curated|free,2026-27,BBA,false,,
The selling concept focuses on aggressive promotion rather than customer satisfaction,Marketing Management,true_false,medium,1,1,True|False,A,The selling concept pushes products regardless of whether they fully satisfy needs.,vriddhi-curated|free,2026-27,BBA,false,,
List the four Ps of the marketing mix,Marketing Management,short_answer,easy,1,2,,Product price place and promotion.,These four controllable variables form the core marketing mix.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the marketing environment and its components,Marketing Management,long_answer,medium,1,5,,The marketing environment has a microenvironment of suppliers customers and competitors and a macroenvironment of demographic economic political technological and cultural forces that the firm cannot control.,Distinguish the micro and macro environments with examples.,vriddhi-curated|free,2026-27,BBA,false,,
The stage of the buyer decision process in which the consumer recognises a gap is,Marketing Management,mcq,easy,2,1,Need recognition|Purchase|Post purchase evaluation|Information search,A,The process begins when the buyer recognises an unmet need.,vriddhi-curated|free,2026-27,BBA,false,,
Consumers who buy products for the first time after information gathering are called,Marketing Management,mcq,medium,2,1,New buyers|Loyal customers|Non users|Switchers,A,New buyers enter a product category after evaluating information.,vriddhi-curated|free,2026-27,BBA,false,,
The feeling of discomfort after a purchase that makes the buyer question the decision is called,Marketing Management,fill_in_blank,medium,2,1,,cognitive dissonance,Post purchase dissonance is doubt about whether the right choice was made.,vriddhi-curated|free,2026-27,BBA,false,,
Cultural and social factors influence consumer buying behaviour,Marketing Management,true_false,easy,2,1,True|False,A,Culture social class family and reference groups shape what and how consumers buy.,vriddhi-curated|free,2026-27,BBA,false,,
List the stages of the consumer decision process,Marketing Management,short_answer,easy,2,2,,Need recognition information search evaluation of alternatives purchase decision and post purchase behaviour.,These five stages describe how consumers reach buying decisions.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the factors influencing consumer behaviour,Marketing Management,long_answer,medium,2,5,,Consumer behaviour is shaped by cultural social personal and psychological factors such as culture family age occupation motivation perception and attitudes.,Cover each category of influence with examples.,vriddhi-curated|free,2026-27,BBA,false,,
Dividing a market into distinct groups of buyers with different needs is called,Marketing Management,mcq,easy,3,1,Market segmentation|Product differentiation|Positioning|Branding,A,Segmentation divides a heterogeneous market into homogeneous buyer groups.,vriddhi-curated|free,2026-27,BBA,false,,
Segmentation based on age income and occupation is called,Marketing Management,fill_in_blank,easy,3,1,,demographic segmentation,Demographic segmentation uses measurable population characteristics.,vriddhi-curated|free,2026-27,BBA,false,,
A firm that ignores segment differences and offers one offer to the whole market uses undifferentiated marketing,Marketing Management,true_false,medium,3,1,True|False,A,Undifferentiated marketing treats the whole market as one segment.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between market segmentation and targeting,Marketing Management,short_answer,medium,3,2,,Segmentation divides the market into groups while targeting selects which group or groups the firm will serve.,Segmentation precedes the choice of target segments.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the bases of market segmentation,Marketing Management,long_answer,medium,3,5,,Markets are segmented on geographic demographic psychographic and behavioural bases. Each divides buyers by location personal traits lifestyles or usage behaviour.,Describe each base with examples of the variables used.,vriddhi-curated|free,2026-27,BBA,false,,
The product element that distinguishes one brand from another is its,Marketing Management,mcq,easy,4,1,Brand|Price|Channel|Advertisement,A,A brand is a name term symbol or design that identifies a seller.,vriddhi-curated|free,2026-27,BBA,false,,
The pricing method that adds a fixed margin to the cost of the product is,Marketing Management,fill_in_blank,easy,4,1,,cost plus pricing,Cost plus pricing adds a standard markup to the unit cost.,vriddhi-curated|free,2026-27,BBA,false,,
A channel of distribution with no intermediaries between producer and consumer is direct,Marketing Management,true_false,easy,4,1,True|False,A,A direct channel sells straight from producer to consumer.,vriddhi-curated|free,2026-27,BBA,false,,
List the stages of the product life cycle,Marketing Management,short_answer,easy,4,2,,Introduction growth maturity and decline.,Sales and profits follow a predictable path through these four stages.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the factors to consider when setting a price,Marketing Management,long_answer,medium,4,5,,Pricing considers costs demand competition and marketing objectives. Costs set the floor demand sets the ceiling and competitors prices anchor the range.,Cover internal cost objectives and external demand and competition.,vriddhi-curated|free,2026-27,BBA,false,,
The process of gathering analysing and reporting marketing information is,Marketing Management,mcq,easy,5,1,Marketing research|Sales forecasting|Advertising|Personal selling,A,Marketing research systematically gathers and analyses data for marketing decisions.,vriddhi-curated|free,2026-27,BBA,false,,
Data collected first hand for a specific research problem is called,Marketing Management,fill_in_blank,medium,5,1,,primary data,Primary data is original data collected for the current purpose.,vriddhi-curated|free,2026-27,BBA,false,,
A sample is a subset of the population selected for study,Marketing Management,true_false,easy,5,1,True|False,A,Sampling studies a representative subset to draw conclusions about the whole.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between primary and secondary data,Marketing Management,short_answer,medium,5,2,,Primary data is collected fresh for the study while secondary data already exists having been collected earlier for another purpose.,The difference lies in the origin and purpose of the data.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the steps in the marketing research process,Marketing Management,long_answer,medium,5,5,,Research proceeds from defining the problem through developing the plan collecting data analysing data and presenting findings to decision makers.,Trace each step from problem definition to report.,vriddhi-curated|free,2026-27,BBA,false,,
Marketing of intangible activities rather than physical goods is called,Marketing Management,mcq,easy,6,1,Services marketing|Product marketing|Industrial marketing|Commodity marketing,A,Services marketing deals with intangible offerings like banking travel and healthcare.,vriddhi-curated|free,2026-27,BBA,false,,
The characteristic of services meaning they cannot be stored is,Marketing Management,fill_in_blank,medium,6,1,,perishability,Perishability means services cannot be inventoried for later sale.,vriddhi-curated|free,2026-27,BBA,false,,
The characteristics of services include intangibility inseparability variability and perishability,Marketing Management,true_false,medium,6,1,True|False,A,These four characteristics distinguish services from goods.,vriddhi-curated|free,2026-27,BBA,false,,
List the characteristics of services,Marketing Management,short_answer,easy,6,2,,Intangibility inseparability variability and perishability.,These four features shape services marketing strategy.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the recent trends in marketing,Marketing Management,long_answer,medium,6,5,,Recent trends include digital and social media marketing influencer marketing personalisation green marketing and data driven marketing. Technology and customer expectations are reshaping strategy.,Cover digitalisation personalisation and sustainability trends.,vriddhi-curated|free,2026-27,BBA,false,,
Assertion: Market segmentation enables a firm to serve customers more effectively. Reason: Different segments have different needs that require tailored offerings,Marketing Management,mcq,medium,3,1,Both assertion and reason are true and reason explains assertion|Both are true but reason does not explain assertion|Assertion is true but reason is false|Assertion is false but reason is true,A,Tailoring offerings to distinct needs is exactly how segmentation improves effectiveness.,vriddhi-curated|free,2026-27,BBA,false,,
Match the mix element to its activity,Marketing Management,mcq,medium,4,1,Place - distribution channels|Price - product design|Product - advertising|Promotion - logistics,A,Place concerns distribution while promotion concerns communication.,vriddhi-curated|free,2026-27,BBA,false,,
The added value that a brand gives a product beyond its functional benefits is,Marketing Management,mcq,medium,4,1,Brand equity|Markup|Margin|Cost,A,Brand equity is the extra value a strong brand adds to the product.,vriddhi-curated|free,2026-27,BBA,false,,
A pricing strategy that sets a high initial price to skim maximum revenue from early buyers is,Marketing Management,fill_in_blank,medium,4,1,,price skimming,Skimming targets less price sensitive early adopters with a high launch price.,vriddhi-curated|free,2026-27,BBA,false,,
Setting a low initial price to gain market share quickly is called penetration pricing,Marketing Management,true_false,medium,4,1,True|False,A,Penetration pricing uses a low price to attract many buyers and capture share.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the concept of the product life cycle and its marketing implications,Marketing Management,short_answer,medium,4,2,,The product life cycle traces sales from introduction through growth and maturity to decline and each stage needs a different marketing strategy.,Strategy shifts as the product moves through its life stages.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A new organic juice brand wants to launch but is unsure which segment to target. Suggest segmentation bases and a positioning approach,Marketing Management,case_based,hard,3,5,,Segment by demographic health conscious and psychographic lifestyle variables. Position the juice as a premium natural and healthy choice distinct from sugary drinks.,Apply segmentation bases and craft a clear positioning statement.,vriddhi-curated|free,2026-27,BBA,false,,
