text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The exchange of goods services and capital across national borders is,International Business,mcq,easy,1,1,International business|Domestic business|Local trade|Retailing,A,International business involves cross border trade and investment.,vriddhi-curated|free,2026-27,BBA,false,,
The increasing interconnection of world economies is called,International Business,mcq,easy,3,1,Globalisation|Nationalisation|Privatisation|Liberalisation,A,Globalisation is the growing integration of economies and markets.,vriddhi-curated|free,2026-27,BBA,false,,
A business that operates in multiple countries is called a,International Business,fill_in_blank,easy,1,1,,multinational company,A multinational company operates and invests in several countries.,vriddhi-curated|free,2026-27,BBA,false,,
International business is riskier than purely domestic business,International Business,true_false,easy,1,1,True|False,A,Cross border business adds currency political and cultural risks.,vriddhi-curated|free,2026-27,BBA,false,,
List the drivers of international business,International Business,short_answer,easy,1,2,,Market seeking resource seeking efficiency seeking and strategic asset seeking motives.,These motives drive firms to internationalise.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of international business,International Business,long_answer,medium,1,5,,International business expands markets diversifies risk accesses resources and technology and enhances competitiveness and growth for firms and nations.,Cover market expansion and resource access benefits.,vriddhi-curated|free,2026-27,BBA,false,,
The theory that nations should produce goods they can make most efficiently is,International Business,mcq,easy,2,1,Absolute advantage|Comparative advantage|Product life cycle|New trade theory,A,Adam Smiths absolute advantage holds that nations export what they make most efficiently.,vriddhi-curated|free,2026-27,BBA,false,,
The theory that nations should specialise where their opportunity cost is lowest is,International Business,fill_in_blank,easy,2,1,,comparative advantage,Ricardo comparative advantage justifies trade on relative efficiency.,vriddhi-curated|free,2026-27,BBA,false,,
The Heckscher Ohlin theory explains trade by differences in factor endowments,International Business,true_false,medium,2,1,True|False,A,Heckscher Ohlin links trade to relative abundance of factors of production.,vriddhi-curated|free,2026-27,BBA,false,,
State the theory of comparative advantage,International Business,short_answer,medium,2,2,,A nation benefits by specialising in goods it produces at a lower opportunity cost and trading for the rest.,Comparative advantage is the basis of mutually beneficial trade.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the mercantilist theory of trade,International Business,long_answer,medium,2,5,,Mercantilism held that a nation gains by maximising exports and minimising imports to accumulate gold and silver treating trade as a zero sum game.,Cover the export surplus and bullion accumulation doctrine.,vriddhi-curated|free,2026-27,BBA,false,,
Exporting goods directly to foreign customers is an entry mode of,International Business,mcq,easy,3,1,Exporting|Licensing|Franchising|Joint venture,A,Exporting is selling goods produced domestically to foreign markets.,vriddhi-curated|free,2026-27,BBA,false,,
Granting a foreign firm the right to use technology for a fee is,International Business,fill_in_blank,easy,3,1,,licensing,Licensing transfers rights to technology or brand for a royalty.,vriddhi-curated|free,2026-27,BBA,false,,
A wholly owned subsidiary is the entry mode requiring the highest investment,International Business,true_false,easy,3,1,True|False,A,A wholly owned subsidiary involves full ownership and high commitment.,vriddhi-curated|free,2026-27,BBA,false,,
