text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
A person who starts a business and bears the risk for profit is an,Entrepreneurship Development,mcq,easy,1,1,Entrepreneur|Manager|Employee|Auditor,A,An entrepreneur organises resources and bears risk for profit.,vriddhi-curated|free,2026-27,BBA,false,,
The process of setting up a business enterprise is called,Entrepreneurship Development,mcq,easy,1,1,Entrepreneurship|Management|Administration|Organising,A,Entrepreneurship is the process of creating a new business venture.,vriddhi-curated|free,2026-27,BBA,false,,
An entrepreneur who starts a business within an existing organisation is an,Entrepreneurship Development,fill_in_blank,medium,2,1,,intrapreneur,An intrapreneur innovates inside an established company.,vriddhi-curated|free,2026-27,BBA,false,,
Entrepreneurs are born and cannot be developed through training,Entrepreneurship Development,true_false,medium,1,1,True|False,B,Entrepreneurial skills and attitudes can be developed through education and training.,vriddhi-curated|free,2026-27,BBA,false,,
List the characteristics of a successful entrepreneur,Entrepreneurship Development,short_answer,easy,2,2,,Initiative risk bearing innovation self confidence and perseverance.,These traits enable entrepreneurs to succeed.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the functions of an entrepreneur,Entrepreneurship Development,long_answer,medium,1,5,,The entrepreneur identifies opportunities innovates organises resources bears risk and makes decisions to build and grow the venture.,Cover innovation risk bearing and resource mobilisation.,vriddhi-curated|free,2026-27,BBA,false,,
An entrepreneur who merely imitates existing businesses is a,Entrepreneurship Development,mcq,easy,2,1,Imitative entrepreneur|Innovative entrepreneur|Fabian entrepreneur|Drone entrepreneur,A,Imitative entrepreneurs copy successful ventures rather than innovate.,vriddhi-curated|free,2026-27,BBA,false,,
Entrepreneurs who are cautious and adopt innovations slowly are called,Entrepreneurship Development,fill_in_blank,medium,2,1,,Fabian entrepreneurs,Fabian entrepreneurs imitate only when not adopting would threaten them.,vriddhi-curated|free,2026-27,BBA,false,,
A woman entrepreneur is one who owns and runs an enterprise with at least half ownership,Entrepreneurship Development,true_false,easy,2,1,True|False,A,A woman entrepreneur owns and manages an enterprise with majority stake.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between an entrepreneur and a manager,Entrepreneurship Development,short_answer,medium,1,2,,An entrepreneur is an owner who bears risk and innovates while a manager is an employee who executes plans for a salary.,The difference is in ownership risk bearing and innovation.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the role of entrepreneurship in economic development,Entrepreneurship Development,long_answer,medium,1,5,,Entrepreneurship creates jobs promotes innovation mobilises resources reduces regional imbalances and raises national income and exports.,Cover employment innovation and balanced development.,vriddhi-curated|free,2026-27,BBA,false,,
The process of scanning the environment to discover business possibilities is,Entrepreneurship Development,mcq,easy,3,1,Opportunity identification|Planning|Controlling|Staffing,A,Opportunity identification finds viable business ideas in the environment.,vriddhi-curated|free,2026-27,BBA,false,,
The study that assesses whether a business idea is technically financially and economically viable is a,Entrepreneurship Development,fill_in_blank,medium,3,1,,feasibility study,A feasibility study tests the viability of a proposed venture.,vriddhi-curated|free,2026-27,BBA,false,,
A business opportunity exists only when there is customer demand and profit potential,Entrepreneurship Development,true_false,medium,3,1,True|False,A,A real opportunity combines demand with the ability to serve it profitably.,vriddhi-curated|free,2026-27,BBA,false,,
List the steps in identifying a business opportunity,Entrepreneurship Development,short_answer,easy,3,2,,Idea generation scanning the environment screening ideas and evaluating feasibility.,These steps convert raw ideas into viable opportunities.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the components of a feasibility study,Entrepreneurship Development,long_answer,medium,3,5,,A feasibility study covers market technical financial and economic aspects assessing demand production methods costs profitability and social impact.,Cover each dimension of feasibility assessment.,vriddhi-curated|free,2026-27,BBA,false,,
The written document that describes the business idea and its execution plan is a,Entrepreneurship Development,mcq,easy,4,1,Business plan|Balance sheet|Feasibility report|Budget,A,A business plan is the roadmap for starting and running the venture.,vriddhi-curated|free,2026-27,BBA,false,,
The section of a business plan that summarises the whole plan is the,Entrepreneurship Development,fill_in_blank,easy,4,1,,executive summary,The executive summary gives a concise overview of the entire plan.,vriddhi-curated|free,2026-27,BBA,false,,
A business plan is useful only for large companies not for startups,Entrepreneurship Development,true_false,easy,4,1,True|False,B,Startups especially need business plans to guide them and attract finance.,vriddhi-curated|free,2026-27,BBA,false,,
List the main components of a business plan,Entrepreneurship Development,short_answer,easy,4,2,,Executive summary description of business market plan operations plan and financial plan.,These sections together describe and justify the venture.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of a business plan,Entrepreneurship Development,long_answer,medium,4,5,,A business plan guides the entrepreneur attracts investors and lenders clarifies objectives and helps monitor progress against targets.,Cover guidance finance raising and control benefits.,vriddhi-curated|free,2026-27,BBA,false,,
The organisation that provides financial and non financial support to small industries in India is,Entrepreneurship Development,mcq,easy,5,1,MSME Development Institute|RBI only|SEBI only|Stock exchange,A,MSME Development Institutes support micro small and medium enterprises.,vriddhi-curated|free,2026-27,BBA,false,,
The apex institution that provides long term finance to small industries is,Entrepreneurship Development,fill_in_blank,medium,5,1,,SIDBI,The Small Industries Development Bank of India finances small industries.,vriddhi-curated|free,2026-27,BBA,false,,
The Pradhan Mantri Mudra Yojana provides loans to small and micro enterprises,Entrepreneurship Development,true_false,easy,5,1,True|False,A,Mudra Yojana offers loans to micro enterprises without collateral.,vriddhi-curated|free,2026-27,BBA,false,,
List the institutions supporting entrepreneurs in India,Entrepreneurship Development,short_answer,easy,5,2,,SIDBI DIC NSIC SIDO and state financial corporations.,These institutions provide finance training and marketing support.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the role of SIDBI in promoting small industries,Entrepreneurship Development,long_answer,medium,5,5,,SIDBI provides refinance direct finance and promotional support to small industries and coordinates the flow of credit to the MSME sector.,Cover refinancing direct lending and developmental support.,vriddhi-curated|free,2026-27,BBA,false,,
A newly established business with high growth potential based on innovation is a,Entrepreneurship Development,mcq,easy,6,1,Startup|Public company|Government enterprise|Cooperative,A,A startup is a new innovative venture designed for rapid growth.,vriddhi-curated|free,2026-27,BBA,false,,
MSME stands for Micro Small and Medium,Entrepreneurship Development,fill_in_blank,easy,6,1,,Enterprises,MSMEs are classified by investment in plant and machinery and turnover.,vriddhi-curated|free,2026-27,BBA,false,,
Women entrepreneurs face unique challenges including limited access to finance,Entrepreneurship Development,true_false,easy,6,1,True|False,A,Access to finance mobility and social attitudes challenge women entrepreneurs.,vriddhi-curated|free,2026-27,BBA,false,,
State the problems faced by women entrepreneurs,Entrepreneurship Development,short_answer,easy,6,2,,Lack of finance limited mobility family responsibilities and social attitudes.,These constraints hinder the growth of women owned businesses.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of MSMEs in the Indian economy,Entrepreneurship Development,long_answer,medium,6,5,,MSMEs generate employment promote regional balance use local resources and contribute significantly to exports and industrial output.,Cover employment output exports and balanced regional growth.,vriddhi-curated|free,2026-27,BBA,false,,
Assertion: Entrepreneurship creates employment opportunities. Reason: New ventures hire people to produce and sell goods and services,Entrepreneurship Development,mcq,medium,1,1,Both assertion and reason are true and reason explains assertion|Both are true but reason does not explain assertion|Assertion is true but reason is false|Assertion is false but reason is true,A,New ventures generate jobs directly and indirectly through their operations.,vriddhi-curated|free,2026-27,BBA,false,,
Match the type of entrepreneur to the description,Entrepreneurship Development,mcq,medium,2,1,Innovative - introduces new ideas|Imitative - resists all change|Fabian - adopts quickly|Drone - imitates others,A,Innovative entrepreneurs introduce new ideas while imitative ones copy.,vriddhi-curated|free,2026-27,BBA,false,,
The analysis of strengths weaknesses opportunities and threats before starting a venture is,Entrepreneurship Development,mcq,medium,3,1,SWOT analysis|Ratio analysis|Variance analysis|Break even analysis,A,SWOT analysis evaluates internal and external factors affecting the venture.,vriddhi-curated|free,2026-27,BBA,false,,
