text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The process of exchanging ideas facts and feelings between two or more people is called,Business Communication,mcq,easy,1,1,Communication|Motivation|Delegation|Coordination,A,Communication is the transfer and understanding of meaning between people.,vriddhi-curated|free,2026-27,BBA,false,,
In the communication process the person who initiates the message is the,Business Communication,mcq,easy,1,1,Sender|Receiver|Decoder|Feedback,A,The sender encodes and transmits the message to the receiver.,vriddhi-curated|free,2026-27,BBA,false,,
The response of the receiver that confirms whether the message was understood is called,Business Communication,fill_in_blank,easy,1,1,,feedback,Feedback completes the communication loop and lets the sender verify understanding.,vriddhi-curated|free,2026-27,BBA,false,,
Communication is a two way process,Business Communication,true_false,easy,1,1,True|False,A,Effective communication involves both sending and receiving with feedback.,vriddhi-curated|free,2026-27,BBA,false,,
State the elements of the communication process,Business Communication,short_answer,easy,1,2,,Sender message encoding channel decoding receiver and feedback.,These seven elements make up the complete communication cycle.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of communication in business,Business Communication,long_answer,medium,1,5,,Communication helps in planning decision making coordination and motivation. It builds relationships with customers and suppliers and is essential for leadership and change management.,Cover internal coordination and external stakeholder relations.,vriddhi-curated|free,2026-27,BBA,false,,
Noise in communication refers to,Business Communication,mcq,easy,2,1,Any interference that distorts the message|The sender of the message|The feedback|The channel,A,Noise is any barrier that distorts or interrupts the message.,vriddhi-curated|free,2026-27,BBA,false,,
Using jargon that the receiver does not understand is which type of barrier,Business Communication,mcq,medium,2,1,Semantic barrier|Physical barrier|Psychological barrier|Organisational barrier,A,Semantic barriers arise from words and symbols having different meanings.,vriddhi-curated|free,2026-27,BBA,false,,
The C of communication that means the message should contain all the facts the receiver needs is,Business Communication,fill_in_blank,easy,2,1,,completeness,Completeness ensures the receiver has everything required to act or decide.,vriddhi-curated|free,2026-27,BBA,false,,
Selective perception is a psychological barrier to communication,Business Communication,true_false,medium,2,1,True|False,A,People filter information through their own attitudes and expectations causing selective perception.,vriddhi-curated|free,2026-27,BBA,false,,
List the seven Cs of effective communication,Business Communication,short_answer,easy,2,2,,Completeness conciseness consideration concreteness clarity courtesy and correctness.,These seven Cs guide effective message construction.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the barriers to effective communication and how to overcome them,Business Communication,long_answer,medium,2,5,,Barriers may be semantic physical psychological or organisational. They are overcome by using simple language active listening empathy the right channel and encouraging feedback.,Cover each barrier type and the matching remedy.,vriddhi-curated|free,2026-27,BBA,false,,
A formal written message sent inside an organisation is called a,Business Communication,mcq,easy,3,1,Memorandum|Circular|Notice|Newsletter,A,A memorandum or memo is used for internal written communication.,vriddhi-curated|free,2026-27,BBA,false,,
The part of a business letter that contains the main message is the,Business Communication,mcq,easy,3,1,Body|Salutation|Heading|Subject line,A,The body carries the main content between the salutation and the close.,vriddhi-curated|free,2026-27,BBA,false,,
A report that is prepared in a prescribed form at regular intervals is a,Business Communication,fill_in_blank,medium,3,1,,routine report,Routine reports are submitted periodically in a standard format.,vriddhi-curated|free,2026-27,BBA,false,,
A memo is usually addressed to people outside the organisation,Business Communication,true_false,easy,3,1,True|False,B,Memos are internal documents; external messages use letters.,vriddhi-curated|free,2026-27,BBA,false,,
What are the parts of a formal business letter,Business Communication,short_answer,easy,3,2,,Heading date inside address salutation subject body complimentary close and signature.,These standard parts give a letter its formal structure.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the different types of business reports,Business Communication,long_answer,medium,3,5,,Reports may be routine or special formal or informal and informational or analytical. They differ in frequency format and whether they merely present facts or also interpret them.,Classify reports by frequency form and purpose.,vriddhi-curated|free,2026-27,BBA,false,,
The style of communication in which a speaker addresses a live audience is called,Business Communication,mcq,easy,4,1,Presentation|Memo|Report|Circular,A,A presentation is a structured oral communication to an audience.,vriddhi-curated|free,2026-27,BBA,false,,
Non verbal communication that studies body movement is called,Business Communication,fill_in_blank,medium,4,1,,kinesics,Kinesics is the study of gestures posture and body language.,vriddhi-curated|free,2026-27,BBA,false,,
Eye contact is an important element of effective public speaking,Business Communication,true_false,easy,4,1,True|False,A,Eye contact engages the audience and builds credibility and rapport.,vriddhi-curated|free,2026-27,BBA,false,,
List the characteristics of effective presentation,Business Communication,short_answer,easy,4,2,,Clear objective logical structure confident delivery audience awareness and effective use of visual aids.,These characteristics keep the audience engaged and informed.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of non verbal communication,Business Communication,long_answer,medium,4,5,,Non verbal cues such as facial expression gestures posture and tone often convey more than words and can reinforce or contradict the spoken message. They build trust and express emotions.,Cover the types of non verbal cues and their impact on meaning.,vriddhi-curated|free,2026-27,BBA,false,,
Electronic mail is an example of,Business Communication,mcq,easy,5,1,Electronic communication|Oral communication|Non verbal communication|Grapevine,A,Email is a form of electronic written communication.,vriddhi-curated|free,2026-27,BBA,false,,
The informal communication network that spreads by word of mouth is called the,Business Communication,fill_in_blank,easy,5,1,,grapevine,The grapevine is the unofficial channel of communication within an organisation.,vriddhi-curated|free,2026-27,BBA,false,,
An email should have a clear and relevant subject line,Business Communication,true_false,easy,5,1,True|False,A,A clear subject line helps the receiver prioritise and understand the message.,vriddhi-curated|free,2026-27,BBA,false,,
Differentiate between formal and informal communication,Business Communication,short_answer,medium,5,2,,Formal communication follows the official chain of command and is documented. Informal communication is unofficial and spontaneous and moves through the grapevine.,The difference lies in official structure and documentation.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the advantages and limitations of email communication,Business Communication,long_answer,medium,5,5,,Email is fast inexpensive and provides a written record with easy sharing. Its limits include misinterpretation lack of non verbal cues and information overload.,Balance the speed and record benefits against the loss of personal touch.,vriddhi-curated|free,2026-27,BBA,false,,
A group discussion is an effective tool used mainly for,Business Communication,mcq,easy,6,1,Assessing communication and teamwork|Writing reports|Filing documents|Calculating accounts,A,Group discussions evaluate communication leadership and team skills.,vriddhi-curated|free,2026-27,BBA,false,,
The first formal stage of a selection interview is usually the,Business Communication,fill_in_blank,easy,6,1,,screening interview,A screening interview is the preliminary stage to shortlist candidates.,vriddhi-curated|free,2026-27,BBA,false,,
In a group discussion dominating others and not allowing them to speak is a positive trait,Business Communication,true_false,easy,6,1,True|False,B,Dominating a discussion is negative; balanced participation and listening are valued.,vriddhi-curated|free,2026-27,BBA,false,,
List any four do s for a successful job interview,Business Communication,short_answer,easy,6,2,,Arrive on time dress appropriately maintain eye contact and answer clearly with relevant examples.,These behaviours create a positive impression on the interviewer.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the skills required to succeed in a group discussion,Business Communication,long_answer,medium,6,5,,Success requires listening analytical thinking clarity of expression leadership and the ability to cooperate. A candidate must present views logically and respect others while steering the discussion.,Cover the communication and behavioural skills assessed in a GD.,vriddhi-curated|free,2026-27,BBA,false,,
Assertion: Listening is as important as speaking in communication. Reason: Communication is complete only when the receiver accurately understands the message,Business Communication,mcq,medium,1,1,Both assertion and reason are true and reason explains assertion|Both are true but reason does not explain assertion|Assertion is true but reason is false|Assertion is false but reason is true,A,Understanding depends on listening so listening is central to complete communication.,vriddhi-curated|free,2026-27,BBA,false,,
Match the communication element to its role,Business Communication,mcq,medium,1,1,Encoding - converting idea into message|Decoding - sending the message|Channel - interpreting the message|Feedback - originating the idea,A,Encoding converts the idea into a message while decoding interprets it.,vriddhi-curated|free,2026-27,BBA,false,,
A meeting notice that is displayed on a board for all employees is called a,Business Communication,mcq,easy,3,1,Notice|Memo|Circular|Agenda,A,A notice is a public written announcement displayed for information.,vriddhi-curated|free,2026-27,BBA,false,,
The list of items to be discussed at a meeting is called the,Business Communication,fill_in_blank,easy,3,1,,agenda,An agenda lists the topics in the order they will be taken up at the meeting.,vriddhi-curated|free,2026-27,BBA,false,,
Minutes of a meeting are a written record of what was discussed and decided,Business Communication,true_false,easy,3,1,True|False,A,Minutes are the official record of proceedings and resolutions of a meeting.,vriddhi-curated|free,2026-27,BBA,false,,
State the difference between a notice and a circular,Business Communication,short_answer,medium,3,2,,A notice is displayed publicly for a wide audience while a circular is distributed to a specific group or department.,The difference is in the audience and the method of distribution.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A manager sends a long email full of technical jargon to a new intern who misreads an important deadline. Identify the barriers and suggest how the message could be improved,Business Communication,case_based,hard,2,5,,The barriers are semantic from jargon and possible overload from length. The manager should use simple language a clear subject line and highlight the deadline explicitly then request confirmation.,Apply the seven Cs to rewrite the message for clarity.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: During a presentation the audience looks confused when the speaker uses a technical chart with no labels. Suggest how the speaker could improve the visual aid and delivery,Business Communication,case_based,hard,4,5,,The speaker should label the chart clearly simplify it and explain each part while facing the audience. Pausing to check understanding and inviting questions would also help.,Improve clarity of the visual aid and use audience feedback during delivery.,vriddhi-curated|free,2026-27,BBA,false,,
Which of the following is an example of downward communication,Business Communication,mcq,medium,1,1,A manager giving instructions to staff|An employee suggesting an idea to the boss|Two departments sharing data|A worker complaining to a supervisor,A,Downward communication flows from superiors to subordinates.,vriddhi-curated|free,2026-27,BBA,false,,
Upward communication flows from subordinates to superiors,Business Communication,true_false,easy,1,1,True|False,A,Upward communication carries feedback and reports from lower to higher levels.,vriddhi-curated|free,2026-27,BBA,false,,
A concise message expresses the idea using the fewest possible words without losing meaning,Business Communication,true_false,easy,2,1,True|False,A,Conciseness removes unnecessary words while retaining the full message.,vriddhi-curated|free,2026-27,BBA,false,,
The study of personal space in communication is called,Business Communication,fill_in_blank,medium,4,1,,proxemics,Proxemics studies how distance and personal space affect communication.,vriddhi-curated|free,2026-27,BBA,false,,
The study of the role of time in communication is called chronemics,Business Communication,true_false,hard,4,1,True|False,A,Chronemics examines how the use of time conveys meaning in communication.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the difference between hearing and listening,Business Communication,short_answer,medium,1,2,,Hearing is the passive physical reception of sound while listening is actively paying attention and interpreting meaning.,Listening requires conscious effort and understanding unlike mere hearing.,vriddhi-curated|free,2026-27,BBA,false,,
List any four barriers to effective listening,Business Communication,short_answer,easy,2,2,,Noise distractions prejudgement lack of interest and information overload.,These barriers prevent the receiver from attending to and understanding the message.,vriddhi-curated|free,2026-27,BBA,false,,
Describe the types of communication on the basis of direction,Business Communication,long_answer,medium,1,5,,Communication may flow downward upward or horizontally. Downward carries orders and policies upward carries feedback and reports and horizontal links peers across departments.,Explain each direction with examples and its purpose.,vriddhi-curated|free,2026-27,BBA,false,,
Describe the process of communication with a diagram in words,Business Communication,long_answer,medium,1,5,,The sender encodes an idea into a message and transmits it through a channel. The receiver decodes it and sends feedback which may be affected by noise at any stage.,Trace the flow from sender through encoding channel decoding receiver and feedback.,vriddhi-curated|free,2026-27,BBA,false,,
