text,subject,type,difficulty,unit,marks,options,correctAnswer,explanation,tags,batch,branch,isPYQ,examYear,examName
The process of managing people in an organisation to achieve goals is,Human Resource Management,mcq,easy,1,1,Human resource management|Financial management|Materials management|Operations,A,HRM is concerned with acquiring developing and retaining people effectively.,vriddhi-curated|free,2026-27,BBA,false,,
Which of the following is a function of HRM,Human Resource Management,mcq,easy,1,1,Recruitment and selection|Preparing balance sheets|Market pricing|Debt collection,A,Recruitment selection training and compensation are core HRM functions.,vriddhi-curated|free,2026-27,BBA,false,,
The systematic process of determining the skills duties and knowledge required for a job is job,Human Resource Management,fill_in_blank,medium,2,1,,analysis,Job analysis yields job descriptions and job specifications.,vriddhi-curated|free,2026-27,BBA,false,,
Human resource planning ensures the right number of people with the right skills are available at the right time,Human Resource Management,true_false,easy,2,1,True|False,A,HRP forecasts demand and supply of people to avoid shortages or surpluses.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between job description and job specification,Human Resource Management,short_answer,medium,2,2,,A job description states the duties and responsibilities of a job while a job specification states the qualifications and qualities required of the person doing it.,Description is about the job while specification is about the job holder.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the objectives of human resource planning,Human Resource Management,long_answer,medium,2,5,,HRP aims to forecast manpower needs match supply with demand prevent shortages and surpluses and support organisational growth while controlling labour costs.,Cover forecasting balancing supply and supporting strategic plans.,vriddhi-curated|free,2026-27,BBA,false,,
The process of attracting a pool of qualified applicants is,Human Resource Management,mcq,easy,3,1,Recruitment|Selection|Induction|Appraisal,A,Recruitment attracts candidates while selection chooses the best among them.,vriddhi-curated|free,2026-27,BBA,false,,
Recruitment from within the organisation through promotion or transfer is called,Human Resource Management,fill_in_blank,easy,3,1,,internal recruitment,Internal sources fill vacancies from existing employees.,vriddhi-curated|free,2026-27,BBA,false,,
Selection is a negative process because it rejects unsuitable candidates,Human Resource Management,true_false,medium,3,1,True|False,A,Selection screens out unqualified applicants while recruitment is positive.,vriddhi-curated|free,2026-27,BBA,false,,
List the steps in the selection process,Human Resource Management,short_answer,easy,3,2,,Screening applications tests interviews reference checks medical examination and job offer.,These steps narrow the applicant pool to the best candidate.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the sources of recruitment,Human Resource Management,long_answer,medium,3,5,,Recruitment sources are internal such as promotion and transfer or external such as advertisements campus and employment agencies. Internal sources motivate staff while external sources bring fresh talent.,Contrast internal and external sources with their merits.,vriddhi-curated|free,2026-27,BBA,false,,
The process of improving the skills of employees for their current job is,Human Resource Management,mcq,easy,4,1,Training|Development|Placement|Compensation,A,Training builds skills for the present job while development prepares for future roles.,vriddhi-curated|free,2026-27,BBA,false,,
The systematic evaluation of an employees performance against standards is performance,Human Resource Management,fill_in_blank,easy,4,1,,appraisal,Performance appraisal assesses how well an employee meets job standards.,vriddhi-curated|free,2026-27,BBA,false,,
Training is a short term process while development is long term,Human Resource Management,true_false,easy,4,1,True|False,A,Training is job focused and short term while development is career focused and long term.,vriddhi-curated|free,2026-27,BBA,false,,
List any four methods of training,Human Resource Management,short_answer,easy,4,2,,On the job training classroom lectures simulation role playing and case study.,These methods develop employee skills in different ways.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the process of performance appraisal,Human Resource Management,long_answer,medium,4,5,,Appraisal begins with setting standards then measuring performance comparing it with standards and giving feedback followed by corrective action and development planning.,Trace the appraisal cycle from standards to feedback.,vriddhi-curated|free,2026-27,BBA,false,,
The reward paid to employees for their work in the form of wages salary and benefits is,Human Resource Management,mcq,easy,5,1,Compensation|Recruitment|Training|Appraisal,A,Compensation includes all monetary and non monetary rewards for work.,vriddhi-curated|free,2026-27,BBA,false,,
Wages paid to workers on the basis of units produced is called,Human Resource Management,fill_in_blank,easy,5,1,,piece wage,Piece wage links payment to output rather than time worked.,vriddhi-curated|free,2026-27,BBA,false,,
Fringe benefits are non monetary benefits such as housing and medical facilities,Human Resource Management,true_false,easy,5,1,True|False,A,Fringe benefits supplement wages with facilities like housing medical care and transport.,vriddhi-curated|free,2026-27,BBA,false,,
Distinguish between time wage and piece wage systems,Human Resource Management,short_answer,medium,5,2,,Time wages pay for the hours worked while piece wages pay for the quantity produced.,Time rate rewards attendance while piece rate rewards output.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of employee welfare measures,Human Resource Management,long_answer,medium,5,5,,Welfare measures like canteens medical care and housing improve employee morale health and commitment reduce absenteeism and help attract and retain talent.,Cover morale health and retention benefits of welfare.,vriddhi-curated|free,2026-27,BBA,false,,
The relationship between employers and employees through unions and collective bargaining is,Human Resource Management,mcq,easy,6,1,Industrial relations|Marketing relations|Public relations|Customer relations,A,Industrial relations cover the employer employee union relationship.,vriddhi-curated|free,2026-27,BBA,false,,
The negotiation between employers and unions over wages and conditions is collective,Human Resource Management,fill_in_blank,easy,6,1,,bargaining,Collective bargaining settles terms of employment through negotiation.,vriddhi-curated|free,2026-27,BBA,false,,
Employee engagement reflects the emotional commitment of employees to their organisation,Human Resource Management,true_false,easy,6,1,True|False,A,Engaged employees are committed enthusiastic and willing to go the extra mile.,vriddhi-curated|free,2026-27,BBA,false,,
List the causes of industrial disputes,Human Resource Management,short_answer,easy,6,2,,Wage demands working conditions retrenchment union recognition and poor management practices cause disputes.,Economic and managerial issues underlie most industrial disputes.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of employee engagement,Human Resource Management,long_answer,medium,6,5,,Engaged employees are more productive loyal and innovative which reduces turnover and improves customer satisfaction and profitability.,Link engagement to performance retention and business outcomes.,vriddhi-curated|free,2026-27,BBA,false,,
Assertion: Induction helps new employees settle quickly. Reason: Induction familiarises them with the organisation and their role,Human Resource Management,mcq,medium,3,1,Both assertion and reason are true and reason explains assertion|Both are true but reason does not explain assertion|Assertion is true but reason is false|Assertion is false but reason is true,A,Induction reduces anxiety by explaining policies and the role to newcomers.,vriddhi-curated|free,2026-27,BBA,false,,
Match the HRM activity to its purpose,Human Resource Management,mcq,medium,1,1,Recruitment - attract applicants|Selection - attract applicants|Training - evaluate performance|Appraisal - choose candidates,A,Recruitment attracts while selection chooses and appraisal evaluates.,vriddhi-curated|free,2026-27,BBA,false,,
The process of introducing a new employee to the organisation and its culture is,Human Resource Management,mcq,easy,3,1,Induction|Recruitment|Selection|Promotion,A,Induction orients new employees to the organisation and their colleagues.,vriddhi-curated|free,2026-27,BBA,false,,
The upward movement of an employee to a higher position with more responsibility is,Human Resource Management,fill_in_blank,easy,2,1,,promotion,Promotion moves an employee to a higher post with more pay and responsibility.,vriddhi-curated|free,2026-27,BBA,false,,
Job rotation moves employees between jobs to broaden their skills,Human Resource Management,true_false,medium,4,1,True|False,A,Job rotation is a training and development technique that widens experience.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the merits and demerits of internal sources of recruitment,Human Resource Management,long_answer,medium,3,5,,Internal recruitment is cheaper and faster and motivates existing staff. Its drawbacks are limited choice possible inbreeding and missed fresh ideas from outside.,Balance morale and cost benefits against limited talent pool.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the factors influencing wage and salary administration,Human Resource Management,long_answer,medium,5,5,,Compensation is influenced by ability to pay prevailing market rates cost of living productivity and government legislation along with union pressure.,Cover internal and external determinants of pay.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A company has high turnover and employees complain of poor growth opportunities. Suggest HR measures to improve retention,Human Resource Management,case_based,hard,6,5,,The company should introduce clear career paths training and development fair appraisal and recognition to improve engagement and reduce turnover.,Propose engagement and development measures addressing the stated complaints.,vriddhi-curated|free,2026-27,BBA,false,,
Read the case: A department hires a skilled worker who then underperforms because he never received orientation. Diagnose the problem and suggest a solution,Human Resource Management,case_based,hard,3,5,,The employee lacked induction so he did not understand expectations and culture. The firm should provide structured induction and on the job support to integrate him.,Link poor onboarding to underperformance and propose induction.,vriddhi-curated|free,2026-27,BBA,false,,
Which appraisal method compares each employee against every other employee,Human Resource Management,mcq,medium,4,1,Paired comparison|Graphic rating|Essay|Checklist,A,Paired comparison ranks employees by comparing them in pairs.,vriddhi-curated|free,2026-27,BBA,false,,
A job description focuses on the person while a job specification focuses on the job,Human Resource Management,true_false,medium,2,1,True|False,B,The description focuses on the job while the specification focuses on the person.,vriddhi-curated|free,2026-27,BBA,false,,
The process of assessing the relative worth of jobs to determine pay is job,Human Resource Management,fill_in_blank,medium,5,1,,evaluation,Job evaluation ranks jobs by difficulty to establish fair pay.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the objectives of training and development,Human Resource Management,long_answer,medium,4,5,,Training develops skills reduces errors and builds confidence while development prepares employees for future responsibilities and supports succession planning.,Distinguish short term skill building from long term development.,vriddhi-curated|free,2026-27,BBA,false,,
List the principles of wage and salary administration,Human Resource Management,short_answer,medium,5,2,,Internal equity external competitiveness performance linkage simplicity and flexibility.,These principles ensure a fair and motivating pay structure.,vriddhi-curated|free,2026-27,BBA,false,,
The voluntary separation of an employee from the organisation is called,Human Resource Management,mcq,easy,6,1,Resignation|Retrenchment|Dismissal|Layoff,A,Resignation is a voluntary separation initiated by the employee.,vriddhi-curated|free,2026-27,BBA,false,,
Dismissal is termination of employment initiated by the employer due to misconduct,Human Resource Management,true_false,easy,6,1,True|False,A,Dismissal is employer initiated termination often for misconduct.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the importance of human resource management in modern organisations,Human Resource Management,long_answer,medium,1,5,,HRM attracts develops and retains talent aligning people with strategy. It improves productivity morale and competitiveness and manages change and diversity.,Link HRM to organisational performance and competitive advantage.,vriddhi-curated|free,2026-27,BBA,false,,
Define grievance and list the stages of the grievance procedure,Human Resource Management,short_answer,medium,6,2,,A grievance is an employee complaint about work conditions. It is handled through supervisor then higher management then arbitration stages.,The procedure escalates the complaint through successive levels.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the difference between personnel management and human resource management,Human Resource Management,long_answer,medium,1,5,,Personnel management is a reactive administrative function focused on employees as a cost. HRM is a proactive strategic function treating people as assets to be developed.,Contrast the scope philosophy and strategic role of the two.,vriddhi-curated|free,2026-27,BBA,false,,
The process of identifying and developing internal people to fill key positions is succession,Human Resource Management,fill_in_blank,medium,4,1,,planning,Succession planning prepares internal candidates for future leadership roles.,vriddhi-curated|free,2026-27,BBA,false,,
Explain the methods of performance appraisal,Human Resource Management,long_answer,medium,4,5,,Appraisal methods include traditional ones like graphic rating and essay and modern ones like management by objectives and 360 degree feedback.,Contrast traditional and modern appraisal techniques.,vriddhi-curated|free,2026-27,BBA,false,,
